lens,center_global_sec,n_speakers,n_edges,n_cross_speaker_edges,decisionish_in_window,context_±10s
Sentence,738.0,4,0,0,True,
Sentence,743.0,4,0,0,True,
Sentence,752.0,4,0,0,True,
Sentence,753.0,4,0,0,True,
Sentence,771.0,4,0,0,True,
Sentence,785.0,2,0,0,True,
Sentence,787.0,2,0,0,True,
Sentence,791.0,2,0,0,True,
Sentence,823.0,2,0,0,True,
Sentence,825.0,2,0,0,True,
Sentence,833.0,2,0,0,True,
Sentence,839.0,2,0,0,True,
Sentence,845.0,3,0,0,True,
Sentence,855.0,3,0,0,True,
Sentence,856.0,3,0,0,True,
Sentence,870.0,3,0,0,True,
Sentence,878.0,3,0,0,True,
Sentence,881.0,3,0,0,True,
Sentence,883.0,3,0,0,True,
Sentence,884.0,3,0,0,True,
Sentence,889.0,3,0,0,True,
Sentence,895.0,3,0,0,True,
Sentence,898.0,3,0,0,True,
Sentence,900.0,3,0,0,True,
Sentence,905.0,3,0,0,True,
Sentence,913.0,3,0,0,True,
Sentence,917.0,3,0,0,True,
Sentence,919.0,3,0,0,True,
Sentence,926.0,3,0,0,True,
Sentence,935.0,2,0,0,True,
Sentence,948.0,1,0,0,True,
Sentence,967.0,1,0,0,True,
Sentence,981.0,1,0,0,True,
Sentence,997.0,1,0,0,True,
Sentence,1020.0,2,0,0,True,
Sentence,1028.0,2,0,0,True,
Sentence,1036.0,2,0,0,True,
Sentence,1049.0,2,0,0,True,
Sentence,1070.0,3,0,0,True,
Sentence,1072.0,3,0,0,True,
Sentence,1080.0,3,0,0,True,
Sentence,1084.0,3,0,0,True,
Sentence,1097.0,2,0,0,True,
Sentence,1102.0,2,0,0,True,
Sentence,1106.0,2,0,0,True,
Sentence,1122.0,2,0,0,True,
Sentence,1136.0,3,0,0,True,
Sentence,1155.0,3,0,0,True,
Sentence,1156.0,3,0,0,True,
Sentence,1167.0,4,0,0,True,
Sentence,1182.0,4,0,0,True,
Sentence,1185.0,4,0,0,True,
Sentence,1201.0,5,0,0,True,
Sentence,1235.0,4,0,0,True,
