,0,1,accuracy,macro avg,weighted avg
precision,0.8903394255874674,0.7174447174447175,0.8012658227848102,0.8038920715160924,0.8172421692334441
recall,0.7478070175438597,0.874251497005988,0.8012658227848102,0.8110292572749238,0.8012658227848102
f1-score,0.8128724672228844,0.7881241565452092,0.8012658227848102,0.8004983118840467,0.8024092573920698
support,456.0,334.0,0.8012658227848102,790.0,790.0
