session,track,rows,decision_hits,centers,decisions_per_1000
2021_04_23_MND_S2,MND,64,55,1,859.38
2021_10_01_MZT_S7,MZT,9,5,1,555.56
2021_05_20_ABI_S2,ABI,57,30,1,526.32
2021_05_20_ABI_S5,ABI,18,8,1,444.44
2021_05_21_ABI_S8,ABI,16,7,1,437.5
2021_10_01_MZT_S11,MZT,14,6,1,428.57
2021_04_23_MND_S12,MND,13,5,1,384.62
2021_06_11_SLU_S3,SLU,13,5,1,384.62
2021_10_01_MZT_S4,MZT,26,10,1,384.62
2021_04_23_MND_S6,MND,19,7,1,368.42
2021_06_11_SLU_S8,SLU,22,8,1,363.64
2021_05_21_ABI_S16,ABI,20,7,1,350.0
