m_cut,n_bursts,avg_unique_speakers,med_unique_speakers,avg_burst_size,med_burst_size,avg_decisions_per10,med_decisions_per10
2,96,6.572916666666667,6.0,31.645833333333332,32.0,4.1384866041418835,4.0
3,96,6.572916666666667,6.0,31.645833333333332,32.0,4.1384866041418835,4.0
4,96,6.572916666666667,6.0,31.645833333333332,32.0,4.1384866041418835,4.0
5,93,6.655913978494624,6.0,32.516129032258064,32.0,4.06230875266259,4.0
6,68,7.235294117647059,7.0,35.11764705882353,35.0,3.9569870136474083,4.0
7,52,7.653846153846154,8.0,36.69230769230769,36.0,4.259166293829589,4.118625277161863
