speaker,global_session,conference,total_utterances,total_explanations,total_decisions,total_new_ideas,total_self_intros,total_minutes_spoken,first_minute,last_minute
Bethany McGregor,2021_09_30_MZT_S2_MZT,2021_09_30_MZT_S2,8,1,0,1,0,170.8,9.75,19.15
Marc Neveu,2021_06_11_SLU_S3_SLU,2021_06_11_SLU_S3,9,0,0,1,3,170.0,9.533333333333331,18.933333333333337
Danae Schulz,2021_10_01_MZT_S11_MZT,2021_10_01_MZT_S11,12,0,0,1,2,169.0,13.516666666666667,18.55
Lisa Ryne,2021_04_23_MND_S15_MND,2021_04_23_MND_S15,5,0,0,1,2,168.0,,
Barbara Bendlin,2021_04_23_MND_S16_MND,2021_04_23_MND_S16,21,0,0,1,0,167.0,9.116666666666667,14.683333333333334
Lisa Ryno,2021_04_22_MND_S6_MND,2021_04_22_MND_S6,7,1,0,1,4,165.0,16.016666666666666,16.9
Aseema Mohanty,2021_05_21_ABI_S2_ABI,2021_05_21_ABI_S2,10,1,0,1,5,163.0,13.25,17.366666666666667
Abhishek Shrivastava ASU,2021_04_23_MND_S15_MND,2021_04_23_MND_S15,13,1,0,1,1,162.0,,
Angela Arenas,2021_10_01_MZT_S4_MZT,2021_10_01_MZT_S4,8,0,0,1,3,160.0,10.016666666666667,18.533333333333335
Laura Schaefer,2021_06_11_SLU_S4_SLU,2021_06_11_SLU_S4,6,2,0,1,1,157.0,9.983333333333333,14.766666666666667
Rika Anderson,2021_06_11_SLU_S3_SLU,2021_06_11_SLU_S3,9,0,0,1,3,156.0,9.533333333333331,19.033333333333335
Wenshing Wang,2021_05_21_ABI_S16_ABI,2021_05_21_ABI_S16,3,0,0,1,1,156.0,16.916666666666668,19.083333333333332
Anna Moore,2021_05_20_ABI_S6_ABI,2021_05_20_ABI_S6,10,1,0,1,5,154.0,9.866666666666667,14.033333333333331
Amanda Stockton,2021_06_10_SLU_S7_SLU,2021_06_10_SLU_S7,7,0,0,1,2,153.0,10.15,19.95
Tanya Nguyen,2021_04_22_MND_S7_MND,2021_04_22_MND_S7,12,0,0,1,2,153.0,9.983333333333333,19.833333333333332
Matt Lew,2021_05_21_ABI_S6_ABI,2021_05_21_ABI_S6,7,0,0,1,2,152.0,11.7,16.983333333333334
Anil Ousmane,2021_05_20_ABI_S8_ABI,2021_05_20_ABI_S8,10,0,0,1,0,151.0,11.916666666666666,17.566666666666666
Rika Anderson,2021_06_10_SLU_S1_SLU,2021_06_10_SLU_S1,14,0,0,1,2,151.0,10.25,17.366666666666667
Adela Oliva Chavez Oliva Chavez,2021_10_01_MZT_S2_MZT,2021_10_01_MZT_S2,10,1,0,1,1,149.0,10.6,15.916666666666666
Adela Detwiler,2021_10_01_MZT_S4_MZT,2021_10_01_MZT_S4,1,0,0,1,0,146.0,17.566666666666666,17.566666666666666
Seu Sim,2021_05_21_ABI_S9_ABI,2021_05_21_ABI_S9,7,1,0,1,1,146.0,10.383333333333333,17.3
Liming Li,2021_06_11_SLU_S4_SLU,2021_06_11_SLU_S4,5,3,0,1,1,144.0,9.983333333333333,16.483333333333334
Stilianos Louca,2021_06_11_SLU_S11_SLU,2021_06_11_SLU_S11,5,1,0,1,2,144.0,10.45,18.2
Chuck Lewis,2021_10_01_MZT_S4_MZT,2021_10_01_MZT_S4,5,1,0,1,1,140.0,12.366666666666667,13.983333333333333
Maayan Levy,2021_04_23_MND_S3_MND,2021_04_23_MND_S3,11,1,0,1,1,138.0,9.383333333333333,18.35
Aida Ebrahimi-Penn State U,2021_05_21_ABI_S16_ABI,2021_05_21_ABI_S16,5,1,0,1,1,137.0,11.25,17.716666666666665
Daniel Huber,2021_06_10_SLU_S7_SLU,2021_06_10_SLU_S7,9,1,0,1,3,137.0,10.2,16.266666666666666
Laura Barge,2021_06_11_SLU_S1_SLU,2021_06_11_SLU_S1,5,1,0,1,1,136.0,10.283333333333331,19.216666666666665
Lisa Poulikakos,2021_05_20_ABI_S5_ABI,2021_05_20_ABI_S5,8,0,0,1,2,135.0,10.0,16.9
Michael Coleman,2021_04_23_MND_S6_MND,2021_04_23_MND_S6,13,0,0,1,0,134.0,10.05,18.2
Courtney Robinson,2021_04_23_MND_S12_MND,2021_04_23_MND_S12,3,1,0,1,1,133.0,15.966666666666669,15.966666666666669
Lisa Poulikakos,2021_05_20_ABI_S8_ABI,2021_05_20_ABI_S8,3,0,0,1,1,133.0,12.416666666666666,16.466666666666665
Jinha Choi,2021_04_23_MND_S6_MND,2021_04_23_MND_S6,2,1,0,1,2,132.0,12.2,18.966666666666665
Katy Keenan,2021_05_20_ABI_S4_ABI,2021_05_20_ABI_S4,9,0,0,1,2,129.0,10.6,18.316666666666663
Abhishek Shrivastava,2021_04_23_MND_S15_MND,2021_04_23_MND_S15,8,1,0,1,0,127.0,10.416666666666666,15.65
Sarah MacEachern,2021_04_22_MND_S5_MND,2021_04_22_MND_S5,4,0,0,1,2,127.0,14.366666666666667,14.366666666666667
Alexandra Walsh,2021_05_21_ABI_S14_ABI,2021_05_21_ABI_S14,3,0,0,1,0,126.0,12.0,13.516666666666667
Gonzalo Vazquez Prokopec,2021_09_30_MZT_S7_MZT,2021_09_30_MZT_S7,7,0,0,1,1,126.0,9.45,18.133333333333333
Courtney Dressing,2021_06_11_SLU_S6_SLU,2021_06_11_SLU_S6,15,0,0,1,2,123.0,10.3,19.316666666666663
Stavroula Hatzios,2021_04_22_MND_S7_MND,2021_04_22_MND_S7,5,0,0,1,1,123.0,9.983333333333333,15.866666666666667
Trinity Hamilton,2021_06_11_SLU_S10_SLU,2021_06_11_SLU_S10,8,2,0,1,1,118.0,10.9,17.95
Seu Sim,2021_05_21_ABI_S14_ABI,2021_05_21_ABI_S14,33,0,0,1,1,117.0,12.416666666666666,16.266666666666666
Katharine White-Notre Dame,2021_05_21_ABI_S1_ABI,2021_05_21_ABI_S1,4,0,0,1,0,115.0,9.983333333333333,12.0
Abhishek Shrivastava,2021_05_21_ABI_S16_ABI,2021_05_21_ABI_S16,8,1,0,1,0,112.0,11.316666666666666,16.9
Larry Cheng,2021_05_21_ABI_S1_ABI,2021_05_21_ABI_S1,3,1,0,1,1,111.0,12.583333333333334,17.1
Andrew Feig,2021_09_30_MZT_S2_MZT,2021_09_30_MZT_S2,6,0,0,1,2,109.8,14.066666666666666,17.9
Camille Nebeker,2021_04_22_MND_S3_MND,2021_04_22_MND_S3,4,0,0,1,1,109.0,3.55,8.533333333333333
Noah Planavsky,2021_06_11_SLU_S9_SLU,2021_06_11_SLU_S9,9,1,0,1,2,109.0,10.833333333333334,17.033333333333335
Katharine White,2021_05_20_ABI_S1_ABI,2021_05_20_ABI_S1,7,0,0,1,0,108.0,8.9,18.133333333333333
Prashant Singh,2021_09_30_MZT_S4_MZT,2021_09_30_MZT_S4,4,1,0,1,1,107.0,10.5,15.5
Pamela Chang,2021_04_23_MND_S10_MND,2021_04_23_MND_S10,8,1,0,1,2,104.0,8.966666666666667,12.2
Gonzalo Vazquez Prokopec,2021_09_30_MZT_S2_MZT,2021_09_30_MZT_S2,1,0,0,1,0,101.0,10.85,10.85
Seu Sim,2021_05_20_ABI_S1_ABI,2021_05_20_ABI_S1,4,1,0,1,1,101.0,9.133333333333333,14.3
Andrew Feig,2021_09_30_MZT_S7_MZT,2021_09_30_MZT_S7,10,0,0,1,1,100.0,10.833333333333334,14.666666666666666
Robert Bryan Jr,2021_04_23_MND_S6_MND,2021_04_23_MND_S6,12,0,0,1,3,97.0,10.05,18.833333333333332
Yanjiao Zhou,2021_04_23_MND_S3_MND,2021_04_23_MND_S3,5,1,0,1,1,97.0,13.183333333333334,16.85
Lisa Ryne,2021_05_21_ABI_S16_ABI,2021_05_21_ABI_S16,2,0,0,1,2,90.0,13.183333333333334,14.666666666666666
William Zuercher,2021_04_22_MND_S5_MND,2021_04_22_MND_S5,3,1,0,1,0,90.0,14.7,15.0
Jeff Wheeler,2021_05_20_ABI_S8_ABI,2021_05_20_ABI_S8,43,0,0,1,0,88.0,13.783333333333331,15.25
Chris Whtibey,2021_04_23_MND_S15_MND,2021_04_23_MND_S15,2,0,0,1,1,86.0,,
Brenda Rubenstein,2021_10_01_MZT_S11_MZT,2021_10_01_MZT_S11,4,0,0,1,0,85.0,11.383333333333333,19.283333333333335
Andy Skemer,2021_06_10_SLU_S3_SLU,2021_06_10_SLU_S3,6,0,0,1,1,83.0,10.533333333333331,18.583333333333332
Kimberly Lau,2021_06_11_SLU_S1_SLU,2021_06_11_SLU_S1,2,0,0,1,1,83.0,14.3,16.083333333333332
Sarah Mckachern,2021_04_23_MND_S2_MND,2021_04_23_MND_S2,1,1,0,1,1,80.0,11.95,11.95
Matt Scruggs,2021_05_21_ABI_S9_ABI,2021_05_21_ABI_S9,6,0,0,1,2,78.0,12.133333333333333,15.483333333333333
Jeff Squier,2021_05_20_ABI_S8_ABI,2021_05_20_ABI_S8,6,0,0,1,1,74.0,10.316666666666666,15.883333333333333
Marie Claire,2021_04_23_MND_S14_MND,2021_04_23_MND_S14,1,0,0,1,0,73.0,,
Wendy Bahr,2021_04_23_MND_S6_MND,2021_04_23_MND_S6,8,0,0,1,0,71.0,15.583333333333334,16.8
Daren Ginete,2021_04_23_MND_S8_MND,2021_04_23_MND_S8,2,0,0,1,1,69.0,13.316666666666666,13.316666666666666
Jeff Bryan Kottkamp,2021_04_22_MND_S5_MND,2021_04_22_MND_S5,7,0,0,1,0,69.0,12.45,17.283333333333335
Larry Cheng,2021_05_20_ABI_S5_ABI,2021_05_20_ABI_S5,1,1,0,1,0,69.0,10.0,10.0
Paris Perdikaris,2021_05_21_ABI_S4_ABI,2021_05_21_ABI_S4,1,1,0,1,1,64.0,16.3,16.3
Paris Perdikaris,2021_05_21_ABI_S8_ABI,2021_05_21_ABI_S8,1,1,0,1,1,63.0,15.75,15.75
Colin Basler,2021_10_01_MZT_S7_MZT,2021_10_01_MZT_S7,1,1,0,1,1,56.0,17.1,17.1
Trinity Hamilton,2021_06_10_SLU_S2_SLU,2021_06_10_SLU_S2,8,0,0,1,0,56.0,11.133333333333333,19.533333333333335
Barbara Smith,2021_05_20_ABI_S6_ABI,2021_05_20_ABI_S6,4,1,0,1,0,53.0,9.783333333333331,17.2
Marie-Claire Arrieta,2021_04_23_MND_S14_MND,2021_04_23_MND_S14,1,0,0,1,1,52.0,,
Samuel Achilefu,2021_05_20_ABI_S1_ABI,2021_05_20_ABI_S1,6,0,0,1,3,47.0,9.083333333333334,11.2
Jill Marburger,2021_04_22_MND_S5_MND,2021_04_22_MND_S5,3,0,0,1,0,42.0,10.0,17.216666666666665
Ying,2021_04_22_MND_S3_MND,2021_04_22_MND_S3,2,0,0,1,0,41.0,7.933333333333334,9.4
Joel Weizman,2021_04_22_MND_S5_MND,2021_04_22_MND_S5,4,1,0,1,0,40.0,13.4,14.1
Lauren Charles,2021_10_01_MZT_S4_MZT,2021_10_01_MZT_S4,1,0,0,1,0,37.0,10.016666666666667,10.016666666666667
Stephanie Rosener,2021_04_22_MND_S5_MND,2021_04_22_MND_S5,1,0,0,1,1,33.0,,
LaureAnne O'Bryan,2021_04_22_MND_S5_MND,2021_04_22_MND_S5,1,0,0,1,1,28.0,11.183333333333334,11.183333333333334
Katharine White-Andre Danino,2021_05_21_ABI_S9_ABI,2021_05_21_ABI_S9,2,0,0,1,0,25.0,10.016666666666667,16.533333333333335
Mark Wilber,2021_10_01_MZT_S4_MZT,2021_10_01_MZT_S4,3,0,0,1,0,22.0,17.433333333333334,17.716666666666665
Andrew Feig,2021_10_01_MZT_S8_MZT,2021_10_01_MZT_S8,2,0,0,1,0,16.0,10.333333333333334,10.633333333333333
Jill Sarah MacEachern,2021_04_22_MND_S5_MND,2021_04_22_MND_S5,1,1,0,1,0,14.0,10.733333333333333,10.733333333333333
Andrew Fegyveresi,2021_05_20_ABI_S8_ABI,2021_05_20_ABI_S8,2,1,0,1,0,7.0,12.283333333333331,12.483333333333333
Bryan Spring | Northeastern U,2021_05_21_ABI_S1_ABI,2021_05_21_ABI_S1,2,0,0,1,0,4.0,15.933333333333334,15.983333333333333
Noah Palm,2021_04_23_MND_S12_MND,2021_04_23_MND_S12,36,1,0,0,4,1309.0,10.316666666666666,18.966666666666665
Dimitar Sasselov,2021_06_10_SLU_S5_SLU,2021_06_10_SLU_S5,76,2,0,0,8,1083.0,10.0,19.566666666666663
Niki Parenteau,2021_06_10_SLU_S1_SLU,2021_06_10_SLU_S1,83,1,0,0,7,939.0,10.25,19.583333333333332
Daniel Apai,2021_06_11_SLU_S6_SLU,2021_06_11_SLU_S6,57,1,0,0,4,866.0,9.95,19.883333333333333
Wei Min,2021_05_21_ABI_S3_ABI,2021_05_21_ABI_S3,59,4,0,0,3,790.0,10.166666666666666,19.0
Aida Ebrahimi,2021_04_22_MND_S1_MND,2021_04_22_MND_S1,26,0,0,0,3,784.0,0.0,8.966666666666667
Linda Detwiler,2021_09_30_MZT_S7_MZT,2021_09_30_MZT_S7,90,2,0,0,13,708.0,9.45,19.4
Noah Planavsky,2021_06_11_SLU_S1_SLU,2021_06_11_SLU_S1,42,2,0,0,3,704.0,10.266666666666667,19.6
William Witola,2021_10_01_MZT_S11_MZT,2021_10_01_MZT_S11,15,1,0,0,4,678.0,10.65,18.55
A Ali Yanik,2021_10_01_MZT_S3_MZT,2021_10_01_MZT_S3,28,2,0,0,9,666.0,10.016666666666667,19.266666666666666
Rebecca Garabed,2021_10_01_MZT_S4_MZT,2021_10_01_MZT_S4,57,2,0,0,7,656.0,10.016666666666667,19.266666666666666
Silvie Huijben,2021_10_01_MZT_S1_MZT,2021_10_01_MZT_S1,28,1,0,0,4,655.0,9.983333333333333,18.516666666666666
Victoria S Meadows,2021_06_11_SLU_S1_SLU,2021_06_11_SLU_S1,71,0,0,0,4,654.0,10.4,19.883333333333333
Lisa Kaltenegger,2021_06_11_SLU_S12_SLU,2021_06_11_SLU_S12,52,1,0,0,3,651.0,10.116666666666667,20.066666666666663
Aaron Engelhart,2021_06_10_SLU_S5_SLU,2021_06_10_SLU_S5,31,2,0,0,2,640.0,10.0,18.666666666666668
Christopher Reinhard,2021_06_11_SLU_S8_SLU,2021_06_11_SLU_S8,39,2,0,0,0,619.0,10.466666666666669,19.316666666666663
Barbara Smith,2021_05_21_ABI_S11_ABI,2021_05_21_ABI_S11,25,2,0,0,3,589.0,10.266666666666667,19.883333333333333
Mini Das,2021_05_21_ABI_S12_ABI,2021_05_21_ABI_S12,53,1,0,0,9,585.0,10.0,18.75
Jin Zhang,2021_05_20_ABI_S1_ABI,2021_05_20_ABI_S1,35,0,0,0,1,573.0,8.9,18.083333333333332
Barbara Smith,2021_05_21_ABI_S15_ABI,2021_05_21_ABI_S15,18,2,0,0,2,563.0,10.45,17.833333333333332
Timothy W Lyons,2021_06_10_SLU_S7_SLU,2021_06_10_SLU_S7,39,1,0,0,1,559.0,10.0,18.55
Keith Hawkins,2021_06_11_SLU_S12_SLU,2021_06_11_SLU_S12,56,2,0,0,4,553.0,10.55,20.016666666666666
Elizabeth Bess,2021_04_23_MND_S10_MND,2021_04_23_MND_S10,25,0,0,0,6,548.0,5.866666666666666,12.916666666666666
