speaker,global_session,conference,total_utterances,total_explanations,total_decisions,total_new_ideas,total_self_intros,total_minutes_spoken,first_minute,last_minute
Maayan Levy,2021_04_22_MND_S7_MND,2021_04_22_MND_S7,26,1,0,0,2,393.0,9.983333333333333,19.533333333333335
Daniel Apai,2021_06_10_SLU_S3_SLU,2021_06_10_SLU_S3,19,2,0,0,1,389.0,9.866666666666667,19.116666666666667
Mike Wimberly,2021_10_01_MZT_S7_MZT,2021_10_01_MZT_S7,29,0,0,0,4,387.0,10.083333333333334,19.266666666666666
Barbara Bendlin,2021_04_22_MND_S4_MND,2021_04_22_MND_S4,40,0,0,0,4,385.0,9.983333333333333,19.216666666666665
Barbara Bendlin,2021_04_23_MND_S2_MND,2021_04_23_MND_S2,43,0,0,0,2,384.0,10.683333333333334,17.016666666666666
Elizabeth Bess,2021_04_23_MND_S2_MND,2021_04_23_MND_S2,54,1,0,0,2,381.0,10.0,18.716666666666665
Gisselle Medina,2021_10_01_MZT_S8_MZT,2021_10_01_MZT_S8,8,1,0,0,1,376.0,10.166666666666666,19.433333333333337
Mini Das,2021_05_20_ABI_S8_ABI,2021_05_20_ABI_S8,38,1,0,0,4,375.0,10.233333333333333,17.533333333333335
Morgan Raven,2021_06_11_SLU_S5_SLU,2021_06_11_SLU_S5,20,0,0,0,9,375.0,10.0,19.75
Yevgenia Kozorovitskiy,2021_05_21_ABI_S11_ABI,2021_05_21_ABI_S11,11,3,0,0,1,374.0,10.0,13.783333333333331
Niki Parenteau,2021_06_11_SLU_S11_SLU,2021_06_11_SLU_S11,50,0,0,0,5,368.0,10.0,19.716666666666665
Srigokul Upadhyayula,2021_05_21_ABI_S3_ABI,2021_05_21_ABI_S3,11,4,0,0,3,362.0,10.166666666666666,16.633333333333333
Daniel Huber,2021_06_11_SLU_S6_SLU,2021_06_11_SLU_S6,24,1,0,0,6,360.0,9.95,18.2
Tori Hoehler,2021_06_10_SLU_S4_SLU,2021_06_10_SLU_S4,24,2,0,0,1,358.0,10.05,18.55
Timothy Sampson,2021_04_23_MND_S3_MND,2021_04_23_MND_S3,16,1,0,0,1,354.0,9.016666666666667,18.733333333333334
Ping Wang,2021_05_21_ABI_S9_ABI,2021_05_21_ABI_S9,11,2,0,0,1,353.0,10.016666666666667,18.7
Chris Whidbey,2021_04_22_MND_S4_MND,2021_04_22_MND_S4,31,0,0,0,6,350.0,11.05,18.5
Dana Mitzel,2021_10_01_MZT_S4_MZT,2021_10_01_MZT_S4,9,0,0,0,2,350.0,10.35,19.4
Thomas Mansell,2021_04_23_MND_S1_MND,2021_04_23_MND_S1,23,0,0,0,4,345.0,10.0,14.016666666666667
JP Yu,2021_04_23_MND_S12_MND,2021_04_23_MND_S12,28,0,0,0,7,343.0,9.85,18.616666666666667
Brian Pogue,2021_05_21_ABI_S12_ABI,2021_05_21_ABI_S12,61,0,0,0,6,340.0,10.05,19.483333333333334
Nandita Garud,2021_04_22_MND_S6_MND,2021_04_22_MND_S6,27,0,0,0,3,340.0,10.0,17.2
Zongqi Xia,2021_04_23_MND_S16_MND,2021_04_23_MND_S16,4,0,0,0,2,340.0,10.25,18.683333333333337
Barbara Bendlin,2021_04_23_MND_S5_MND,2021_04_23_MND_S5,30,0,0,0,3,339.0,4.416666666666667,14.033333333333331
Flavio Frohlich,2021_04_22_MND_S4_MND,2021_04_22_MND_S4,17,1,0,0,2,338.0,9.983333333333333,18.933333333333337
Andro Rios,2021_06_11_SLU_S2_SLU,2021_06_11_SLU_S2,25,0,0,0,4,337.0,11.0,19.233333333333334
Douglas Shepherd,2021_05_21_ABI_S7_ABI,2021_05_21_ABI_S7,7,0,0,0,3,336.0,9.983333333333333,15.483333333333333
Edward Schwieterman,2021_06_11_SLU_S1_SLU,2021_06_11_SLU_S1,16,0,0,0,2,334.0,10.0,18.383333333333333
Ferdinand Schweser,2021_05_21_ABI_S5_ABI,2021_05_21_ABI_S5,20,0,0,0,3,333.0,10.033333333333331,18.866666666666667
Mike Wimberly,2021_09_30_MZT_S2_MZT,2021_09_30_MZT_S2,4,1,0,0,3,330.0,11.4,13.0
Amanda Stockton,2021_06_11_SLU_S5_SLU,2021_06_11_SLU_S5,20,2,0,0,7,326.0,10.0,16.0
Jeff Brian Harman,2021_04_23_MND_S14_MND,2021_04_23_MND_S14,15,0,0,0,3,326.0,10.266666666666667,17.7
Jin Zhang,2021_05_21_ABI_S2_ABI,2021_05_21_ABI_S2,13,0,0,0,1,325.0,9.466666666666669,17.333333333333332
Anat Shahar,2021_06_10_SLU_S6_SLU,2021_06_10_SLU_S6,61,1,0,0,0,324.0,10.016666666666667,19.85
Jennifer Glass,2021_06_11_SLU_S3_SLU,2021_06_11_SLU_S3,22,1,0,0,4,323.0,10.083333333333334,15.233333333333333
Aaron Engelhart,2021_06_11_SLU_S13_SLU,2021_06_11_SLU_S13,19,1,0,0,3,322.0,10.25,20.116666666666667
Candace Fleischer,2021_05_21_ABI_S14_ABI,2021_05_21_ABI_S14,17,2,0,0,2,314.0,10.0,16.433333333333334
Betül Kaçar,2021_06_11_SLU_S7_SLU,2021_06_11_SLU_S7,13,1,0,0,6,313.0,10.0,19.25
Liang Song,2021_04_22_MND_S5_MND,2021_04_22_MND_S5,12,1,0,0,0,313.0,,
Abhishek Shrivastava,2021_04_22_MND_S7_MND,2021_04_22_MND_S7,16,0,0,0,2,311.0,10.516666666666667,19.383333333333333
Brad Smith,2021_05_20_ABI_S2_ABI,2021_05_20_ABI_S2,42,0,0,0,2,310.0,9.95,17.383333333333333
Aaron Engelhart,2021_06_11_SLU_S3_SLU,2021_06_11_SLU_S3,24,0,0,0,3,307.0,9.533333333333331,18.966666666666665
Rosa Krajmalnik,2021_04_23_MND_S10_MND,2021_04_23_MND_S10,39,0,0,0,4,306.0,5.633333333333334,11.983333333333333
Dylan Burnette,2021_05_21_ABI_S13_ABI,2021_05_21_ABI_S13,12,1,0,0,3,305.0,10.0,18.5
Marc Neveu,2021_06_10_SLU_S7_SLU,2021_06_10_SLU_S7,17,2,0,0,4,304.0,10.0,18.35
Stephanie Olson,2021_06_11_SLU_S4_SLU,2021_06_11_SLU_S4,22,1,0,0,3,303.0,11.383333333333333,16.166666666666668
Dimitar Sasselov,2021_06_11_SLU_S11_SLU,2021_06_11_SLU_S11,37,0,0,0,1,293.0,10.183333333333334,19.716666666666665
Wenjing Wang,2021_04_23_MND_S15_MND,2021_04_23_MND_S15,25,1,0,0,3,293.0,10.183333333333334,14.35
Liliana Salvador,2021_09_30_MZT_S7_MZT,2021_09_30_MZT_S7,15,2,0,0,1,292.0,9.45,19.4
Sapun Parekh,2021_05_20_ABI_S5_ABI,2021_05_20_ABI_S5,32,1,0,0,2,292.0,10.65,19.016666666666666
Hannah Frank,2021_09_30_MZT_S7_MZT,2021_09_30_MZT_S7,26,1,0,0,7,290.0,9.833333333333334,17.633333333333333
Jial Rongge Xue,2021_04_22_MND_S5_MND,2021_04_22_MND_S5,5,2,0,0,1,290.0,11.65,18.116666666666667
Leslie Rogers,2021_06_11_SLU_S6_SLU,2021_06_11_SLU_S6,28,1,0,0,1,288.0,10.633333333333333,19.233333333333334
Carolyn Bayer,2021_05_21_ABI_S1_ABI,2021_05_21_ABI_S1,15,0,0,0,2,287.0,11.366666666666667,16.966666666666665
Anat Shahar,2021_06_11_SLU_S10_SLU,2021_06_11_SLU_S10,31,2,0,0,1,285.0,10.066666666666666,18.3
Robin Michelle Voigt,2021_04_23_MND_S1_MND,2021_04_23_MND_S1,19,0,0,0,0,282.0,10.0,19.15
Stephanie Cologna,2021_04_23_MND_S2_MND,2021_04_23_MND_S2,14,0,0,0,1,277.0,10.0,18.183333333333337
Nikole Lewis,2021_06_10_SLU_S3_SLU,2021_06_10_SLU_S3,17,1,0,0,3,276.0,11.75,18.766666666666666
Stephanie Cologna,2021_04_23_MND_S5_MND,2021_04_23_MND_S5,21,0,0,0,2,271.0,4.416666666666667,14.433333333333334
Erin Longbrake,2021_04_22_MND_S4_MND,2021_04_22_MND_S4,15,2,0,0,2,269.0,10.133333333333333,18.7
Matt Erdman,2021_10_01_MZT_S8_MZT,2021_10_01_MZT_S8,45,0,0,0,1,265.0,10.366666666666667,19.016666666666666
Laurene Tetard,2021_10_01_MZT_S3_MZT,2021_10_01_MZT_S3,12,0,0,0,0,262.0,10.733333333333333,17.7
Heather Bean,2021_04_23_MND_S16_MND,2021_04_23_MND_S16,3,0,0,0,3,259.0,9.633333333333333,16.3
Matt Lovett-Barron,2021_05_21_ABI_S10_ABI,2021_05_21_ABI_S10,13,0,0,0,3,258.0,11.616666666666667,16.65
Tyler Robinson,2021_06_11_SLU_S1_SLU,2021_06_11_SLU_S1,12,1,0,0,4,258.0,10.0,19.083333333333332
Aniruddha Ray,2021_05_21_ABI_S11_ABI,2021_05_21_ABI_S11,22,1,0,0,3,257.0,10.116666666666667,18.766666666666666
Irene Yang,2021_04_23_MND_S6_MND,2021_04_23_MND_S6,13,2,0,0,2,255.0,12.216666666666669,17.75
Peter Dorhout,2021_10_01_MZT_S9_MZT,2021_10_01_MZT_S9,14,0,0,0,3,255.0,9.983333333333333,17.65
Stefan Wilhelm,2021_05_20_ABI_S3_ABI,2021_05_20_ABI_S3,13,1,0,0,1,251.0,10.583333333333334,16.65
Simon Darroch,2021_06_11_SLU_S4_SLU,2021_06_11_SLU_S4,9,2,0,0,3,249.0,9.983333333333333,19.25
Kim Pepin,2021_10_01_MZT_S9_MZT,2021_10_01_MZT_S9,15,0,0,0,2,246.0,9.916666666666666,17.3
Carolina Tropini,2021_04_23_MND_S15_MND,2021_04_23_MND_S15,18,0,0,0,1,244.0,10.0,13.616666666666667
Jay Forsythe(he/him),2021_06_10_SLU_S1_SLU,2021_06_10_SLU_S1,1,1,0,0,1,244.0,10.633333333333333,10.633333333333333
Peter Dorhout,2021_09_30_MZT_S3_MZT,2021_09_30_MZT_S3,18,1,0,0,2,244.0,9.95,19.35
Natasha Batalha,2021_06_10_SLU_S3_SLU,2021_06_10_SLU_S3,10,1,0,0,1,243.0,10.166666666666666,17.216666666666665
Maryellen Giger UChicago,2021_05_20_ABI_S4_ABI,2021_05_20_ABI_S4,14,2,0,0,1,242.0,10.25,19.283333333333335
Jeff Errington,2021_04_23_MND_S14_MND,2021_04_23_MND_S14,5,0,0,0,2,241.0,,
Laura Schaefer,2021_06_10_SLU_S6_SLU,2021_06_10_SLU_S6,27,1,0,0,3,239.0,9.983333333333333,19.066666666666663
Melanie Gareau UC Davis,2021_04_23_MND_S11_MND,2021_04_23_MND_S11,25,1,0,0,0,238.0,9.916666666666666,15.466666666666669
Kaixiong Ye,2021_04_22_MND_S8_MND,2021_04_22_MND_S8,9,0,0,0,1,237.0,10.0,15.4
Jeff Miller,2021_04_23_MND_S14_MND,2021_04_23_MND_S14,15,0,0,0,1,236.0,10.583333333333334,15.166666666666666
George Weinstock,2021_04_23_MND_S1_MND,2021_04_23_MND_S1,4,0,0,0,1,234.0,12.383333333333333,17.4
Morgan Raven,2021_06_11_SLU_S2_SLU,2021_06_11_SLU_S2,45,1,0,0,9,234.0,9.95,19.133333333333333
Shiva Abbaszadeh,2021_05_21_ABI_S5_ABI,2021_05_21_ABI_S5,7,0,0,0,2,234.0,11.65,15.816666666666666
Courtney Dressing,2021_06_10_SLU_S3_SLU,2021_06_10_SLU_S3,9,1,0,0,1,231.0,10.883333333333333,16.016666666666666
Stavroula Hatzios,2021_04_23_MND_S5_MND,2021_04_23_MND_S5,8,0,0,0,2,231.0,4.666666666666667,13.916666666666666
Kristen Maitland,2021_05_21_ABI_S7_ABI,2021_05_21_ABI_S7,29,0,0,0,1,230.0,9.983333333333333,18.433333333333337
Xin Qi,2021_04_23_MND_S15_MND,2021_04_23_MND_S15,7,0,0,0,1,227.0,,
Chris Windey,2021_04_22_MND_S1_MND,2021_04_22_MND_S1,20,0,0,0,4,226.0,0.0,8.583333333333334
Yevgenia Kozorovitskiy,2021_05_21_ABI_S6_ABI,2021_05_21_ABI_S6,11,1,0,0,0,224.0,9.883333333333333,18.3
Jarrad Horowitz,2021_04_23_MND_S14_MND,2021_04_23_MND_S14,13,0,0,0,1,223.0,10.016666666666667,17.516666666666666
Laurene Tetard,2021_09_30_MZT_S4_MZT,2021_09_30_MZT_S4,19,0,0,0,0,223.0,11.683333333333334,18.233333333333334
Aniruddha Ray,2021_05_21_ABI_S15_ABI,2021_05_21_ABI_S15,27,3,0,0,3,222.0,10.883333333333333,16.65
Matt Bogyo,2021_05_21_ABI_S9_ABI,2021_05_21_ABI_S9,25,2,0,0,1,222.0,10.15,19.75
Melike Lakadamyali,2021_05_20_ABI_S1_ABI,2021_05_20_ABI_S1,12,0,0,0,4,222.0,9.2,16.683333333333334
Natasha Batalha,2021_06_11_SLU_S5_SLU,2021_06_11_SLU_S5,11,2,0,0,1,221.0,10.866666666666667,15.55
Kai Zhang,2021_04_22_MND_S3_MND,2021_04_22_MND_S3,18,0,0,0,1,220.0,0.0833333333333333,10.016666666666667
Shannon Mackenzie,2021_06_11_SLU_S11_SLU,2021_06_11_SLU_S11,8,0,0,0,2,220.0,10.383333333333333,19.05
Bradford Foley,2021_06_11_SLU_S9_SLU,2021_06_11_SLU_S9,10,2,0,0,2,219.0,10.216666666666669,18.9
Edward Schwieterman,2021_06_10_SLU_S4_SLU,2021_06_10_SLU_S4,13,1,0,0,1,219.0,10.05,19.716666666666665
Uzay Emir,2021_05_21_ABI_S12_ABI,2021_05_21_ABI_S12,11,0,0,0,4,218.0,11.966666666666669,18.6
Luke Mortensen,2021_05_20_ABI_S7_ABI,2021_05_20_ABI_S7,17,0,0,0,4,213.0,10.233333333333333,19.383333333333333
David Durgan,2021_04_23_MND_S12_MND,2021_04_23_MND_S12,10,1,0,0,2,211.0,9.7,15.416666666666666
Lawrence David,2021_04_23_MND_S8_MND,2021_04_23_MND_S8,10,2,0,0,3,207.0,10.716666666666669,16.616666666666667
Andro Rios,2021_06_10_SLU_S4_SLU,2021_06_10_SLU_S4,26,1,0,0,1,206.0,10.066666666666666,19.066666666666663
Katharine White,2021_05_21_ABI_S9_ABI,2021_05_21_ABI_S9,4,1,0,0,2,206.0,11.2,19.766666666666666
Kevin Cash,2021_05_20_ABI_S5_ABI,2021_05_20_ABI_S5,8,1,0,0,1,205.0,12.866666666666667,19.416666666666668
Arnold Hayer,2021_05_20_ABI_S2_ABI,2021_05_20_ABI_S2,7,1,0,0,1,204.0,9.95,13.95
Matthew Hopken,2021_10_01_MZT_S2_MZT,2021_10_01_MZT_S2,5,0,0,0,1,204.0,10.016666666666667,19.633333333333333
Aseema Mohanty,2021_05_20_ABI_S3_ABI,2021_05_20_ABI_S3,9,1,0,0,2,203.0,10.583333333333334,16.833333333333332
Andrew Vanderburg,2021_06_11_SLU_S6_SLU,2021_06_11_SLU_S6,15,1,0,0,4,202.0,9.95,19.633333333333333
Brian Pogue,2021_05_20_ABI_S2_ABI,2021_05_20_ABI_S2,39,2,0,0,0,202.0,10.133333333333333,19.95
Sapun Parekh,2021_05_21_ABI_S10_ABI,2021_05_21_ABI_S10,10,0,0,0,1,202.0,10.233333333333333,19.666666666666668
Aseema Mohanty,2021_05_20_ABI_S7_ABI,2021_05_20_ABI_S7,10,1,0,0,3,201.0,10.15,18.233333333333334
Shikha Nangia,2021_04_23_MND_S9_MND,2021_04_23_MND_S9,4,1,0,0,2,201.0,10.183333333333334,12.316666666666666
Matt Erdman,2021_09_30_MZT_S5_MZT,2021_09_30_MZT_S5,23,0,0,0,2,200.0,9.433333333333334,17.4
Uzay Emir,2021_05_20_ABI_S7_ABI,2021_05_20_ABI_S7,9,1,0,0,2,198.0,10.116666666666667,13.716666666666669
Fanny Chapelin,2021_05_21_ABI_S6_ABI,2021_05_21_ABI_S6,23,0,0,0,1,197.0,9.75,18.3
Kristen Maitland,2021_05_21_ABI_S12_ABI,2021_05_21_ABI_S12,24,1,0,0,1,197.0,10.0,19.733333333333334
Shannon Quinn,2021_05_21_ABI_S1_ABI,2021_05_21_ABI_S1,27,2,0,0,4,196.0,10.0,18.683333333333337
Girgis Obaid | UT Dallas,2021_05_21_ABI_S6_ABI,2021_05_21_ABI_S6,13,1,0,0,1,194.0,11.95,18.666666666666668
Timothy Sampson,2021_04_23_MND_S6_MND,2021_04_23_MND_S6,10,2,0,0,2,193.0,15.216666666666669,19.983333333333334
Lu Wei,2021_05_21_ABI_S14_ABI,2021_05_21_ABI_S14,9,0,0,0,2,192.0,10.0,19.85
adela,2021_09_30_MZT_S7_MZT,2021_09_30_MZT_S7,8,1,0,0,0,192.0,9.533333333333331,16.033333333333335
Alexandra Dickinson,2021_05_21_ABI_S3_ABI,2021_05_21_ABI_S3,10,1,0,0,2,190.0,10.3,17.4
Arenas,2021_09_30_MZT_S3_MZT,2021_09_30_MZT_S3,1,0,0,0,1,190.0,14.966666666666669,14.966666666666669
Matt Lovett-Barron,2021_05_20_ABI_S6_ABI,2021_05_20_ABI_S6,36,0,0,0,1,190.0,10.183333333333334,19.616666666666667
Bradford Foley,2021_06_10_SLU_S6_SLU,2021_06_10_SLU_S6,10,0,0,0,2,189.0,10.333333333333334,17.383333333333333
Kevin Cash,2021_05_21_ABI_S14_ABI,2021_05_21_ABI_S14,15,1,0,0,2,189.0,11.183333333333334,15.583333333333334
Joyce Jose,2021_09_30_MZT_S5_MZT,2021_09_30_MZT_S5,23,0,0,0,2,186.0,9.7,16.516666666666666
Kaixiong Ye,2021_04_23_MND_S1_MND,2021_04_23_MND_S1,9,0,0,0,3,186.0,10.166666666666666,17.4
Troy Sutton,2021_10_01_MZT_S2_MZT,2021_10_01_MZT_S2,4,1,0,0,1,186.0,10.3,13.183333333333334
Kai Zhang,2021_04_23_MND_S14_MND,2021_04_23_MND_S14,19,2,0,0,4,185.0,10.3,19.016666666666666
Robin Voigt,2021_04_23_MND_S12_MND,2021_04_23_MND_S12,11,0,0,0,1,184.0,9.833333333333334,17.783333333333335
Wilfred van der Donk,2021_09_30_MZT_S3_MZT,2021_09_30_MZT_S3,7,2,0,0,1,184.0,10.033333333333331,18.966666666666665
Yanling Chang,2021_10_01_MZT_S8_MZT,2021_10_01_MZT_S8,11,1,0,0,4,182.0,10.166666666666666,19.166666666666668
Jeff Brian Norman,2021_04_23_MND_S14_MND,2021_04_23_MND_S14,17,0,0,0,2,181.0,11.233333333333333,20.016666666666666
Chris Whidbey,2021_04_22_MND_S1_MND,2021_04_22_MND_S1,9,0,0,0,3,179.0,0.0,5.6
Erik Procko,2021_09_30_MZT_S3_MZT,2021_09_30_MZT_S3,7,1,0,0,1,179.0,10.516666666666667,18.85
Jeffrey Marlow,2021_06_10_SLU_S1_SLU,2021_06_10_SLU_S1,17,0,0,0,1,179.0,10.3,17.416666666666668
JP Yu,2021_04_22_MND_S5_MND,2021_04_22_MND_S5,3,0,0,0,0,178.0,15.183333333333334,16.583333333333332
Jeff Winkler,2021_05_20_ABI_S8_ABI,2021_05_20_ABI_S8,17,1,0,0,2,178.0,10.666666666666666,19.4
Nick Galan,2021_05_21_ABI_S2_ABI,2021_05_21_ABI_S2,3,1,0,0,1,178.0,14.8,17.35
Andrew Vanderburg,2021_06_10_SLU_S3_SLU,2021_06_10_SLU_S3,8,1,0,0,3,177.0,9.933333333333334,19.283333333333335
Diego Huet,2021_09_30_MZT_S3_MZT,2021_09_30_MZT_S3,3,2,0,0,1,177.0,11.716666666666669,18.133333333333333
Yanjiao Zhou,2021_04_22_MND_S4_MND,2021_04_22_MND_S4,13,1,0,0,2,177.0,9.983333333333333,17.6
Mei Shen,2021_04_22_MND_S1_MND,2021_04_22_MND_S1,8,1,0,0,2,176.0,0.0,8.25
Avery Strait,2021_09_30_MZT_S2_MZT,2021_09_30_MZT_S2,11,2,0,0,0,175.3,9.75,18.7
Erin Longbrake,2021_04_23_MND_S5_MND,2021_04_23_MND_S5,6,1,0,0,1,175.0,4.416666666666667,14.433333333333334
Kristen Maitland,2021_05_21_ABI_S2_ABI,2021_05_21_ABI_S2,17,0,0,0,0,175.0,9.25,18.6
Erin Longbrake,2021_04_23_MND_S2_MND,2021_04_23_MND_S2,4,1,0,0,2,174.0,10.233333333333333,11.683333333333334
Jeff Thompson,2021_04_23_MND_S6_MND,2021_04_23_MND_S6,10,0,0,0,2,174.0,10.083333333333334,18.083333333333332
Efrem Lim,2021_09_30_MZT_S4_MZT,2021_09_30_MZT_S4,4,1,0,0,0,173.0,14.683333333333334,16.666666666666668
Lisa Osborne,2021_04_22_MND_S3_MND,2021_04_22_MND_S3,10,3,0,0,1,172.0,1.2,8.2
Betül Kaçar,2021_06_10_SLU_S7_SLU,2021_06_10_SLU_S7,8,1,0,0,2,171.0,10.733333333333333,18.15
Lu Wei,2021_05_21_ABI_S9_ABI,2021_05_21_ABI_S9,7,1,0,0,2,171.0,10.483333333333333,19.383333333333333
Liliana Salvador,2021_09_30_MZT_S2_MZT,2021_09_30_MZT_S2,12,0,0,0,1,166.3,10.066666666666666,19.15
Meredith MacGregor,2021_06_10_SLU_S2_SLU,2021_06_10_SLU_S2,10,0,0,0,2,166.0,9.683333333333334,18.283333333333335
Mark Wilber,2021_09_30_MZT_S2_MZT,2021_09_30_MZT_S2,8,0,0,0,1,165.0,12.316666666666666,15.966666666666669
Ali Keshavarzan,2021_04_22_MND_S6_MND,2021_04_22_MND_S6,22,0,0,0,5,164.0,,
Dylan McCreedy,2021_05_21_ABI_S13_ABI,2021_05_21_ABI_S13,8,0,0,0,2,163.0,10.366666666666667,18.333333333333332
Coco Zhang,2021_06_10_SLU_S3_SLU,2021_06_10_SLU_S3,9,0,0,0,1,162.0,10.366666666666667,19.25
Morgan Raven,2021_06_10_SLU_S1_SLU,2021_06_10_SLU_S1,6,0,0,0,1,162.0,10.25,16.283333333333335
Amy Hartman,2021_10_01_MZT_S2_MZT,2021_10_01_MZT_S2,12,0,0,0,1,161.0,11.866666666666667,18.8
Matt Erdman,2021_09_30_MZT_S6_MZT,2021_09_30_MZT_S6,14,0,0,0,2,161.0,11.05,19.4
Stefan Wilhelm,2021_05_20_ABI_S7_ABI,2021_05_20_ABI_S7,3,0,0,0,2,160.0,10.616666666666667,16.716666666666665
Xin Qi,2021_05_21_ABI_S16_ABI,2021_05_21_ABI_S16,4,0,0,0,0,160.0,11.25,14.266666666666667
Andrew Feig,2021_10_01_MZT_S4_MZT,2021_10_01_MZT_S4,24,0,0,0,1,158.0,10.05,17.866666666666667
Ferdinand Schweser,2021_05_20_ABI_S2_ABI,2021_05_20_ABI_S2,9,2,0,0,2,157.0,10.05,19.966666666666665
Morteza Mahmoudi,2021_05_21_ABI_S12_ABI,2021_05_21_ABI_S12,2,0,0,0,1,157.0,14.566666666666666,17.233333333333334
Luke Mortensen,2021_05_21_ABI_S15_ABI,2021_05_21_ABI_S15,12,1,0,0,1,156.0,10.533333333333331,18.616666666666667
Peter Dornhout,2021_10_01_MZT_S3_MZT,2021_10_01_MZT_S3,3,0,0,0,2,156.0,12.483333333333333,16.283333333333335
Shannon Mackenzie,2021_06_11_SLU_S3_SLU,2021_06_11_SLU_S3,7,2,0,0,1,155.0,9.533333333333331,16.933333333333334
Nikole Lewis,2021_06_11_SLU_S1_SLU,2021_06_11_SLU_S1,6,0,0,0,3,154.0,10.35,14.7
Dylan McCreedy | Texas A&M,2021_05_21_ABI_S13_ABI,2021_05_21_ABI_S13,38,0,0,0,1,153.0,10.333333333333334,16.5
Mei Shen,2021_04_22_MND_S4_MND,2021_04_22_MND_S4,6,0,0,0,3,151.0,10.35,17.6
Morgan Cable,2021_06_10_SLU_S6_SLU,2021_06_10_SLU_S6,14,0,0,0,3,151.0,9.983333333333333,19.633333333333333
Andrew Feig,2021_10_01_MZT_S3_MZT,2021_10_01_MZT_S3,23,1,0,0,2,150.0,10.2,17.433333333333334
Heather Bean,2021_04_23_MND_S7_MND,2021_04_23_MND_S7,11,0,0,0,2,150.0,10.133333333333333,17.883333333333333
Katherine de Kleer,2021_06_11_SLU_S7_SLU,2021_06_11_SLU_S7,6,0,0,0,1,150.0,10.0,19.566666666666663
Lu Wei,2021_05_20_ABI_S4_ABI,2021_05_20_ABI_S4,3,2,0,0,2,150.0,10.933333333333334,13.616666666666667
Kristen Marland,2021_05_20_ABI_S3_ABI,2021_05_20_ABI_S3,6,0,0,0,2,148.0,11.766666666666667,18.7
Morteza Mahmoudi,2021_05_20_ABI_S1_ABI,2021_05_20_ABI_S1,2,0,0,0,0,148.0,13.416666666666666,15.016666666666667
Xiao,2021_04_23_MND_S6_MND,2021_04_23_MND_S6,4,0,0,0,0,148.0,13.083333333333334,16.416666666666668
Andy Skemer,2021_06_11_SLU_S1_SLU,2021_06_11_SLU_S1,18,1,0,0,1,147.0,10.8,18.183333333333337
Danae Schulz,2021_09_30_MZT_S3_MZT,2021_09_30_MZT_S3,10,0,0,0,2,146.0,9.95,19.35
Ana Bento,2021_10_01_MZT_S4_MZT,2021_10_01_MZT_S4,6,0,0,0,1,145.0,12.316666666666666,16.483333333333334
Emily Balskus,2021_04_23_MND_S1_MND,2021_04_23_MND_S1,11,0,0,0,0,145.0,10.033333333333331,17.583333333333332
Amy Vincent,2021_10_01_MZT_S1_MZT,2021_10_01_MZT_S1,22,0,0,0,1,143.0,11.383333333333333,16.85
Camille Nebeker,2021_04_23_MND_S1_MND,2021_04_23_MND_S1,4,0,0,0,2,143.0,10.25,14.883333333333333
Molly Bright,2021_05_21_ABI_S9_ABI,2021_05_21_ABI_S9,4,2,0,0,2,143.0,10.25,16.3
Daniel Apai / Univ Arizona,2021_06_10_SLU_S3_SLU,2021_06_10_SLU_S3,7,0,0,0,2,142.0,10.316666666666666,17.616666666666667
Gisselle Medina,2021_10_01_MZT_S4_MZT,2021_10_01_MZT_S4,5,0,0,0,1,142.0,10.633333333333333,13.616666666666667
Heather Bean,2021_04_22_MND_S8_MND,2021_04_22_MND_S8,6,0,0,0,1,142.0,10.0,15.5
Stephanie Olson,2021_06_11_SLU_S13_SLU,2021_06_11_SLU_S13,13,0,0,0,1,142.0,10.25,17.766666666666666
Danae Schulz,2021_10_01_MZT_S1_MZT,2021_10_01_MZT_S1,8,1,0,0,1,141.0,9.983333333333333,19.866666666666667
Mimi Sammarco,2021_05_21_ABI_S2_ABI,2021_05_21_ABI_S2,8,1,0,0,4,141.0,10.916666666666666,19.0
Elaine Hsiao,2021_04_23_MND_S3_MND,2021_04_23_MND_S3,6,1,0,0,2,140.0,14.233333333333333,16.066666666666666
Christopher Reinhard,2021_06_10_SLU_S4_SLU,2021_06_10_SLU_S4,17,0,0,0,3,139.0,10.05,18.3
Peter Driscoll,2021_06_10_SLU_S5_SLU,2021_06_10_SLU_S5,5,0,0,0,1,139.0,10.85,15.916666666666666
Sen Pei,2021_10_01_MZT_S3_MZT,2021_10_01_MZT_S3,20,0,0,0,5,139.0,14.0,18.05
Wenjing Wang,2021_05_21_ABI_S16_ABI,2021_05_21_ABI_S16,21,1,0,0,2,139.0,11.416666666666666,17.6
Bradford Foley,2021_06_11_SLU_S12_SLU,2021_06_11_SLU_S12,11,1,0,0,2,138.0,10.75,19.933333333333337
Daniel Becker,2021_09_30_MZT_S7_MZT,2021_09_30_MZT_S7,6,0,0,0,3,137.0,9.833333333333334,16.516666666666666
David Bryman,2021_04_22_MND_S5_MND,2021_04_22_MND_S5,8,0,0,0,1,137.0,,
Kevin Taufour,2021_05_20_ABI_S8_ABI,2021_05_20_ABI_S8,6,1,0,0,1,136.0,13.583333333333334,15.833333333333334
Joel P Fhu,2021_04_22_MND_S5_MND,2021_04_22_MND_S5,3,0,0,0,0,135.0,10.0,17.116666666666667
Girgis Obaid,2021_05_21_ABI_S6_ABI,2021_05_21_ABI_S6,6,0,0,0,1,133.0,9.633333333333333,13.683333333333334
