token,2,3,4,5
agreement,0.6708824011262201,9.53048021886911e-12,9.53048021886911e-12,9.53048021886911e-12
assign task,2.0100641267213244,2.292220227356195e-11,2.292220227356195e-11,2.292220227356195e-11
decision,0.6003449740522124,1.0360562618231853e-11,1.0360562618231853e-11,1.0360562618231853e-11
present new idea,1.0583786222086269,4.72177021694023e-12,4.72177021694023e-12,4.72177021694023e-12
summarize discussion,57.43040342601554,2.553533326812801e-09,2.553533326812801e-09,2.553533326812801e-09
