m_cut,eligible_windows,sentences_in_windows,decision_hits_in_windows,concordance_rows_written
2,17,238,97,3038
3,17,238,97,3038
4,17,238,97,3038
5,16,233,94,3024
6,12,174,69,2388
7,8,124,53,1908
