session,m_cut,bursts,avg_burst_size,avg_unique_speakers,total_decision_hits,avg_decision_hits_per10
2021_06_10_SLU_S1,2,38,38.05263157894737,8.078947368421053,595,4.1165751439319935
2021_06_10_SLU_S1,3,38,38.05263157894737,8.078947368421053,595,4.1165751439319935
2021_06_10_SLU_S1,4,38,38.05263157894737,8.078947368421053,595,4.1165751439319935
2021_06_10_SLU_S1,5,38,38.05263157894737,8.078947368421053,595,4.1165751439319935
2021_06_10_SLU_S1,6,38,38.05263157894737,8.078947368421053,595,4.1165751439319935
2021_06_10_SLU_S1,7,38,38.05263157894737,8.078947368421053,595,4.1165751439319935
2021_10_01_MZT_S11,2,58,27.448275862068964,5.586206896551724,641,4.152842388417328
2021_10_01_MZT_S11,3,58,27.448275862068964,5.586206896551724,641,4.152842388417328
2021_10_01_MZT_S11,4,58,27.448275862068964,5.586206896551724,641,4.152842388417328
2021_10_01_MZT_S11,5,55,28.69090909090909,5.672727272727273,632,4.024815609603728
2021_10_01_MZT_S11,6,30,31.4,6.166666666666667,356,3.7548420486202665
2021_10_01_MZT_S11,7,14,33.0,6.5,214,4.646199414980203
