,0,1,accuracy,macro avg,weighted avg
precision,0.8948655256723717,0.569060773480663,0.74189364461738,0.7319631495765173,0.7896445356649328
recall,0.7011494252873564,0.8273092369477911,0.74189364461738,0.7642293311175737,0.74189364461738
f1-score,0.7862513426423201,0.67430441898527,0.74189364461738,0.7302778808137951,0.750097277803662
support,522.0,249.0,0.74189364461738,771.0,771.0
