outcome,feature,coef,std_err,t,p_value,ci_low,ci_high,N,R2,Adj_R2
num_teams,ann_none_sum_score,-3.787996912323605e-14,5.448622044149268e-15,-6.952210818864115,3.596054578073219e-12,-4.855907209513962e-14,-2.7200866151332478e-14,771,0.11880966923132263,0.1165149027449458
num_teams,ann_participation_dynamics_sum_score,-0.03371418897760023,0.004989537333517037,-6.756976994866113,1.4090055192685652e-11,-0.04349350245081164,-0.02393487550438882,771,0.18524493644331907,0.1820581500148053
num_teams,ann_participation_dynamics_count,-0.03797436809033201,0.00562263943256375,-6.753833061106831,1.4398941850224909e-11,-0.048994538876211684,-0.02695419730445233,771,0.17831188048350688,0.17509797649582826
num_teams,ann_none_mean_score,4.456468989328472e-14,6.613213628108101e-15,6.738734358114743,1.5977219499628383e-11,3.1603029360123374e-14,5.752635042644606e-14,444,0.07653660650864647,0.07234856390777855
num_teams,ann_coordination_and_decision_practices_sum_score,-0.025571468931603936,0.00386678187066833,-6.613113898556732,3.763186787687114e-11,-0.03315022213418628,-0.017992715729021592,771,0.17497557270351438,0.17174861927210694
num_teams,p_speaking_duration_sec,0.0009190349264570903,0.00014433744716010693,6.367266045918402,1.9242723829182526e-10,0.0006361387284028276,0.0012019311245113529,771,0.11880966923132263,0.1165149027449458
num_teams,ann_coordination_and_decision_practices_count,-0.03356150858737549,0.00539006258800369,-6.226552667880174,4.768099851061977e-10,-0.04412583713427948,-0.022997180040471504,771,0.1706088377930901,0.16736480456411917
num_teams,p_turns,-0.008266765207692678,0.0016268748811815645,-5.081377371619816,3.747078755110472e-07,-0.011455381382161425,-0.005078149033223931,771,0.11880966923132263,0.1165149027449458
num_teams,ann_relational_climate_sum_score,-0.02412944221161726,0.004811936091918409,-5.014497647244813,5.317220329236207e-07,-0.03356066364768576,-0.014698220775548759,771,0.1526375980204686,0.14932327311050952
num_teams,ann_knowledge_sharing_count,0.02756482075686164,0.006699600877520574,4.114397448563083,3.8819208859199726e-05,0.014433844326128374,0.040695797187594904,771,0.15377231189705254,0.1504624252421518
num_teams,ann_knowledge_sharing_sum_score,0.015173169214734624,0.0037496747548457655,4.046529421018741,5.1982593891815376e-05,0.007823941741497868,0.02252239668797138,771,0.1515053835204544,0.1481866301313558
num_teams,ann_relational_climate_count,-0.025775153365613406,0.007516252146925947,-3.4292560789295927,0.0006052381843529302,-0.04050673687231012,-0.01104356985891669,771,0.13980069427998398,0.13643615983779356
