bin_sec,topic_hits,avg_score,n_lines,n_affirm,n_proposal,n_reopen,bin_hms
900.0,9,1.4166666666666667,12,5,0,0,15:00
960.0,9,1.1666666666666667,24,7,0,5,16:00
1020.0,7,0.6818181818181818,22,4,1,0,17:00
1080.0,7,1.3076923076923077,13,3,0,1,18:00
1140.0,4,2.2222222222222223,9,2,0,2,19:00
1200.0,4,1.2222222222222223,9,1,0,3,20:00
1260.0,0,0.0,1,0,0,0,21:00
