idea_id,first_time,last_time,duration,contributors,expansions
Idea_36,567.0,939.0,372.0,5,2
Idea_0,567.0,938.0,371.0,7,4
Idea_13,567.0,938.0,371.0,7,1
Idea_22,567.0,918.0,351.0,14,7
Idea_28,567.0,883.0,316.0,4,1
Idea_27,624.0,880.0,256.0,6,1
Idea_25,674.0,898.0,224.0,7,3
Idea_35,650.0,827.0,177.0,4,2
Idea_14,648.0,785.0,137.0,4,1
Idea_31,567.0,697.0,130.0,3,1
