minute_B,conv_count,conv_decision_count,conv_rate
11,2.0,1.0,0.09523809523809523
12,2.0,0.0,0.09523809523809523
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,1.0,0.0,0.047619047619047616
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,1.0,0.0,0.047619047619047616
21,15.0,4.0,0.7142857142857143
