term,coef,std_err,p_value,ci_low,ci_high,N,R2,Adj_R2
Intercept,5.6569333294905295,2.51713861564852,0.02461660578065914,0.723432298724421,10.590434360256637,273,0.24709610916008595,0.14670892371476407
C(conference)[T.CMC],0.7499352183807415,0.34825454594667465,0.03128638095304246,0.06736885087290967,1.4325015858885735,273,0.24709610916008595,0.14670892371476407
C(conference)[T.MND],0.03975562547619692,0.35756857963973787,0.9114710589110944,-0.6610659126208314,0.7405771635732252,273,0.24709610916008595,0.14670892371476407
C(conference)[T.MZT],0.0833662805956917,0.3533871546493144,0.8135053257742787,-0.6092598151160509,0.7759923763074343,273,0.24709610916008595,0.14670892371476407
C(conference)[T.NES],-0.09724929031307997,0.3077533614541586,0.7520044119216301,-0.7004347948843681,0.5059362142582082,273,0.24709610916008595,0.14670892371476407
C(conference)[T.SLU],0.2199278395492925,0.30075232479244485,0.4646209781190511,-0.3695358853105922,0.8093915644091773,273,0.24709610916008595,0.14670892371476407
C(year)[T.2021],-0.2964185631736854,0.6397949461235212,0.6431475931124333,-1.5503936150665312,0.9575564887191604,273,0.24709610916008595,0.14670892371476407
C(year)[T.2022],-0.42328604874081815,0.7456829378727841,0.570273442117647,-1.8847977508574936,1.0382256533758574,273,0.24709610916008595,0.14670892371476407
ann_coordination_and_decision_practices_count,-0.026765525067181446,0.0389701667418729,0.49219559649367195,-0.10314564835277296,0.04961459821841006,273,0.24709610916008595,0.14670892371476407
ann_coordination_and_decision_practices_mean_score,0.06977979060345066,0.3703261044476582,0.8505411871249339,-0.6560460366489778,0.795605617855879,273,0.24709610916008595,0.14670892371476407
ann_coordination_and_decision_practices_sum_score,0.014137172383580745,0.027878761539993684,0.6120883694672954,-0.04050419616838729,0.06877854093554878,273,0.24709610916008595,0.14670892371476407
ann_evaluation_practices_count,0.08657537693469242,0.07269040810607626,0.23364763949640466,-0.055895204974735435,0.22904595884412027,273,0.24709610916008595,0.14670892371476407
ann_evaluation_practices_mean_score,0.3581770350479936,0.3961553185814192,0.3659249643128144,-0.4182731216555794,1.1346271917515667,273,0.24709610916008595,0.14670892371476407
ann_evaluation_practices_sum_score,-0.0595832580415469,0.05057385899634827,0.23873944363340072,-0.1587062002335965,0.039539684150502706,273,0.24709610916008595,0.14670892371476407
ann_idea_management_count,-0.08570423499402421,0.10884548018566434,0.4310514893574423,-0.2990374560378944,0.12762898604984596,273,0.24709610916008595,0.14670892371476407
ann_idea_management_mean_score,-1.9883026821815397,0.9225632727680096,0.03114666878561348,-3.796493470266241,-0.1801118940968387,273,0.24709610916008595,0.14670892371476407
ann_idea_management_sum_score,0.037731240409962036,0.06387729874646268,0.5547327780893381,-0.08746596456281036,0.16292844538273443,273,0.24709610916008595,0.14670892371476407
ann_information_seeking_count,0.09472674752549406,0.0828514611936802,0.2529006700199824,-0.06765913248063704,0.25711262753162517,273,0.24709610916008595,0.14670892371476407
ann_information_seeking_mean_score,0.5265215372034981,0.6897854257245813,0.44527730888077754,-0.8254330542773098,1.8784761286843061,273,0.24709610916008595,0.14670892371476407
ann_information_seeking_sum_score,-0.05975565386442704,0.04628491014587011,0.19668993143852098,-0.150472410778005,0.030961103049150916,273,0.24709610916008595,0.14670892371476407
ann_integration_practices_count,0.02791339092740587,0.1272564742365689,0.8263793542051492,-0.22150471537581845,0.2773314972306302,273,0.24709610916008595,0.14670892371476407
ann_integration_practices_mean_score,0.3437352955980589,0.3307230126006913,0.298644332974361,-0.30446989795788254,0.9919404891540002,273,0.24709610916008595,0.14670892371476407
ann_integration_practices_sum_score,-0.01231425567880956,0.08422507432252821,0.8837583524206574,-0.17739236794617413,0.152763856588555,273,0.24709610916008595,0.14670892371476407
ann_knowledge_sharing_count,-0.10202553109038566,0.11040127192198877,0.35541673204695223,-0.31840804790489674,0.11435698572412543,273,0.24709610916008595,0.14670892371476407
ann_knowledge_sharing_mean_score,-1.1386640283306786,1.4557180163005288,0.4340964810225375,-3.9918189119258063,1.714490855264449,273,0.24709610916008595,0.14670892371476407
ann_knowledge_sharing_sum_score,0.0720636551080018,0.06483785352154894,0.2663772033881422,-0.05501620262911763,0.19914351284512125,273,0.24709610916008595,0.14670892371476407
ann_none_count,0.03019193776773652,0.020900269716480204,0.14857823185260116,-0.01077183814373785,0.07115571367921089,273,0.24709610916008595,0.14670892371476407
ann_participation_dynamics_count,-0.027166416620158923,0.03488316196851762,0.4361075013031358,-0.0955361577453308,0.04120332450501295,273,0.24709610916008595,0.14670892371476407
ann_participation_dynamics_mean_score,-0.7963918865504328,0.32916080243067386,0.0155435063232405,-1.441535204436858,-0.1512485686640077,273,0.24709610916008595,0.14670892371476407
ann_participation_dynamics_sum_score,0.02003815503774767,0.03094422682390761,0.517271425666322,-0.040611415066549514,0.08068772514204485,273,0.24709610916008595,0.14670892371476407
ann_relational_climate_count,-0.00821848141427205,0.018480935793364586,0.6565362069019096,-0.04444044996986381,0.02800348714131971,273,0.24709610916008595,0.14670892371476407
ann_relational_climate_mean_score,-0.18035902346793298,0.5131596571740794,0.7252375310486969,-1.1861334698480497,0.8254154229121838,273,0.24709610916008595,0.14670892371476407
ann_relational_climate_sum_score,-0.007082927764177634,0.0160036062897212,0.6580672168594279,-0.038449419714789865,0.024283564186434597,273,0.24709610916008595,0.14670892371476407
