outcome,contrast,n_used,controls,coef_role,se_role,p_role,r2,r2_adj,formula
ann_information_seeking_count,role_in_funded,602,sessions_total,-0.054732296793405535,0.23406922831658292,0.8151972184001324,0.020908453236990976,0.0176393662695018,ann_information_seeking_count ~ role_in_funded + sessions_total
ann_information_seeking_mean_score,role_in_funded,602,sessions_total,0.04404439999880978,0.022333796394464936,0.049058210981631545,0.008861080118878095,0.005551768199408613,ann_information_seeking_mean_score ~ role_in_funded + sessions_total
ann_integration_practices_count,role_in_funded,385,sessions_total,-0.34309609568062666,0.11388149460620471,0.002761398794837628,0.027087193849647306,0.021993409524252883,ann_integration_practices_count ~ role_in_funded + sessions_total
ann_integration_practices_mean_score,role_in_funded,381,sessions_total,0.04948865887635345,0.04337032266741377,0.2545623722559513,0.0033671116412224977,-0.00190607824427369,ann_integration_practices_mean_score ~ role_in_funded + sessions_total
ann_knowledge_sharing_count,role_in_funded,711,sessions_total,1.8348558581844086,0.49858209930128944,0.0002508042689124926,0.07786317503751017,0.07525826875230546,ann_knowledge_sharing_count ~ role_in_funded + sessions_total
ann_knowledge_sharing_mean_score,role_in_funded,711,sessions_total,0.03625881311650877,0.015943844334742427,0.023254959470417388,0.0035529139226718742,0.0007380916456173336,ann_knowledge_sharing_mean_score ~ role_in_funded + sessions_total
ann_none_count,role_in_funded,447,sessions_total,-0.37203871393743904,0.19173264850785499,0.05296337126903772,0.010042651321930052,0.005583383985542367,ann_none_count ~ role_in_funded + sessions_total
ann_participation_dynamics_count,role_in_funded,455,sessions_total,-2.1173270975962035,0.32757577016664857,2.652445823209653e-10,0.05492205857505317,0.05074029777228806,ann_participation_dynamics_count ~ role_in_funded + sessions_total
ann_participation_dynamics_mean_score,role_in_funded,436,sessions_total,-0.02373163344697222,0.034269088460767226,0.48898929490907594,0.004277695375691115,-0.0003214838604488346,ann_participation_dynamics_mean_score ~ role_in_funded + sessions_total
ann_relational_climate_count,role_in_funded,677,sessions_total,-1.1665207062924812,0.3629059092298736,0.0013695862608515575,0.0296111702470494,0.026731678170631157,ann_relational_climate_count ~ role_in_funded + sessions_total
ann_relational_climate_mean_score,role_in_funded,640,sessions_total,-0.05677924100574423,0.028359996995071277,0.045698636414335636,0.007943541670862642,0.004828764721634515,ann_relational_climate_mean_score ~ role_in_funded + sessions_total
p_interruptions_made,role_in_funded,391,sessions_total,-0.30522547677006695,0.2004811269629013,0.1287071985378763,0.008970535921335565,0.0038621366219609987,p_interruptions_made ~ role_in_funded + sessions_total
p_nods_received,role_in_funded,790,sessions_total,0.030032181446797517,0.08693569939706126,0.7298462964711805,0.020355745808857573,0.01786617972450899,p_nods_received ~ role_in_funded + sessions_total
p_overlaps,role_in_funded,213,sessions_total,-0.08424111152254204,0.15261436323061045,0.5815443522461952,0.008581615246765262,-0.0008604646080274669,p_overlaps ~ role_in_funded + sessions_total
p_screenshare_segments,role_in_funded,519,sessions_total,0.6605206613453533,0.6890888997369387,0.3382384190640605,0.005374655973264808,0.0015195189809130705,p_screenshare_segments ~ role_in_funded + sessions_total
p_smile_other_total,role_in_funded,790,sessions_total,3.5255713208101374,11.181301453468718,0.7526102095063641,0.023020698764403713,0.02053790511450382,p_smile_other_total ~ role_in_funded + sessions_total
p_smile_self_total,role_in_funded,790,sessions_total,7.226895394155076,16.044223916112895,0.6525201794010547,0.03943727131856878,0.0369961970398357,p_smile_self_total ~ role_in_funded + sessions_total
p_speaking_duration_sec,role_in_funded,790,sessions_total,58.98132102379136,17.606757082565032,0.0008468311014481148,0.12357717487039233,0.12134992499712771,p_speaking_duration_sec ~ role_in_funded + sessions_total
p_turns,role_in_funded,790,sessions_total,0.6793929817442602,1.113643134759645,0.5419958795615393,0.07552321351997204,0.07317384430401253,p_turns ~ role_in_funded + sessions_total
ann_coordination_and_decision_practices_count,role_on_team,518,sessions_total,-3.01596460065134,0.4619233848211748,1.5878630955152087e-10,0.11096592261446592,0.10751336309063864,ann_coordination_and_decision_practices_count ~ role_on_team + sessions_total
ann_coordination_and_decision_practices_mean_score,role_on_team,510,sessions_total,-0.06774938764563249,0.025191311302952598,0.00739401026296216,0.013314085154320865,0.00942183302475208,ann_coordination_and_decision_practices_mean_score ~ role_on_team + sessions_total
ann_evaluation_practices_count,role_on_team,544,sessions_total,-0.08867800742022133,0.17794159181396532,0.618436681344374,0.013255533828932409,0.009607679979871109,ann_evaluation_practices_count ~ role_on_team + sessions_total
ann_evaluation_practices_mean_score,role_on_team,527,sessions_total,0.10551354878751946,0.03391774892330467,0.0019670064816408586,0.020532696406796336,0.01679427158392155,ann_evaluation_practices_mean_score ~ role_on_team + sessions_total
ann_idea_management_count,role_on_team,618,sessions_total,0.21857244188183106,0.2511672081746362,0.38451598982186297,0.039595647493302244,0.036472381306288715,ann_idea_management_count ~ role_on_team + sessions_total
ann_idea_management_mean_score,role_on_team,617,sessions_total,0.07226675996624086,0.022371932277360958,0.0013029208580842924,0.02187918498920327,0.018693123702523184,ann_idea_management_mean_score ~ role_on_team + sessions_total
ann_information_seeking_count,role_on_team,602,sessions_total,-0.5737411251652867,0.276071252761853,0.03811286383451353,0.029668094312241933,0.026428254894252823,ann_information_seeking_count ~ role_on_team + sessions_total
ann_information_seeking_mean_score,role_on_team,602,sessions_total,0.057963355767793996,0.02181745047108343,0.008100264151733219,0.015002239969027165,0.01171343275690373,ann_information_seeking_mean_score ~ role_on_team + sessions_total
ann_integration_practices_count,role_on_team,385,sessions_total,-0.4208692812204685,0.13372423308091727,0.0017772652713295533,0.04062774310704864,0.0356048517097034,ann_integration_practices_count ~ role_on_team + sessions_total
ann_integration_practices_mean_score,role_on_team,381,sessions_total,-0.012460618609254914,0.04019611004490883,0.7567351091584897,0.000255181559335127,-0.005034473564689668,ann_integration_practices_mean_score ~ role_on_team + sessions_total
ann_knowledge_sharing_count,role_on_team,711,sessions_total,1.2724632169820653,0.4333196799850898,0.0034265580330333297,0.07094969317729738,0.06832525728231809,ann_knowledge_sharing_count ~ role_on_team + sessions_total
ann_knowledge_sharing_mean_score,role_on_team,711,sessions_total,0.06624044116817793,0.01634741228764508,5.6391556714923675e-05,0.016640842659757626,0.013862991932807822,ann_knowledge_sharing_mean_score ~ role_on_team + sessions_total
ann_none_count,role_on_team,447,sessions_total,-0.07919620861942751,0.22806652663954277,0.7285676947154711,0.005228138808202054,0.0007471844785092996,ann_none_count ~ role_on_team + sessions_total
ann_participation_dynamics_count,role_on_team,455,sessions_total,-3.5838712202538963,0.49949045336958814,2.980561246015958e-12,0.16041608331676327,0.15670111023409417,ann_participation_dynamics_count ~ role_on_team + sessions_total
ann_participation_dynamics_mean_score,role_on_team,436,sessions_total,-0.0025276210641564235,0.0319923284232626,0.937063475240931,0.0033958005973315775,-0.0012074520557985302,ann_participation_dynamics_mean_score ~ role_on_team + sessions_total
ann_relational_climate_count,role_on_team,677,sessions_total,-1.9883089586451392,0.46898249437990086,2.551449949261457e-05,0.052315322035567546,0.04950320132944164,ann_relational_climate_count ~ role_on_team + sessions_total
ann_relational_climate_mean_score,role_on_team,640,sessions_total,-0.07056512942251619,0.026356166806925367,0.007611514770780968,0.013226327395455262,0.010128136900621532,ann_relational_climate_mean_score ~ role_on_team + sessions_total
p_interruptions_made,role_on_team,391,sessions_total,-0.11810222742446538,0.2208822108344121,0.593174510870065,0.005661675429159185,0.0005362201478662509,p_interruptions_made ~ role_on_team + sessions_total
p_nods_received,role_on_team,790,sessions_total,0.10701299666413204,0.07510630202643123,0.15460552949545422,0.02356467288785613,0.02108326163725338,p_nods_received ~ role_on_team + sessions_total
p_overlaps,role_on_team,213,sessions_total,-0.010841150920075442,0.15084174977017373,0.94277295251836,0.00759799998097288,-0.0018534476382559006,p_overlaps ~ role_on_team + sessions_total
p_screenshare_segments,role_on_team,519,sessions_total,-0.006922079093019736,0.5784318654380545,0.9904565894061242,0.003313762655553165,-0.0005493622953942623,p_screenshare_segments ~ role_on_team + sessions_total
p_smile_other_total,role_on_team,790,sessions_total,7.993044753495675,9.943832828428915,0.42174406130195985,0.02401533902855235,0.02153507305403779,p_smile_other_total ~ role_on_team + sessions_total
p_smile_self_total,role_on_team,790,sessions_total,5.905166283812789,13.616330475027091,0.6646377579633377,0.03942867929171123,0.03698758317809414,p_smile_self_total ~ role_on_team + sessions_total
p_speaking_duration_sec,role_on_team,790,sessions_total,60.25398023273669,17.355069711823297,0.0005450992857494367,0.13020387068634165,0.12799346120905142,p_speaking_duration_sec ~ role_on_team + sessions_total
p_turns,role_on_team,790,sessions_total,-0.7373302541193949,1.212905649847693,0.5434264932429256,0.0757792632011427,0.0734305446832294,p_turns ~ role_on_team + sessions_total
