,0,1,accuracy,macro avg,weighted avg
precision,0.9872521246458924,0.6666666666666666,0.9531645569620253,0.8269593956562795,0.9608748401286145
recall,0.9613793103448276,0.8615384615384616,0.9531645569620253,0.9114588859416446,0.9531645569620253
f1-score,0.9741439552760307,0.7516778523489933,0.9531645569620253,0.862910903812512,0.9558397822503885
support,725.0,65.0,0.9531645569620253,790.0,790.0
