target,description,n_rows,pos_count,neg_count,roc_auc_mean,roc_auc_sd,accuracy_mean,accuracy_sd,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,roc_curve_png
role_facilitator,Facilitator vs Non-facilitator,790,65,725,0.92710875331565,0.04063618923404659,0.879746835443038,0.01698279476582118,0.38944414972001173,0.046353651086062445,0.8,0.07844645405527362,0.5235916714864084,0.05776004005541127,/Users/maxchalekson/Desktop/outputs/clf_roc_role_facilitator.png
role_in_funded,Funded vs Unfunded,790,145,645,0.714782143811815,0.04122513094207818,0.6734177215189874,0.020253164556962022,0.3002891305039411,0.02480663923171691,0.5931034482758621,0.11205570213290982,0.39708557471833095,0.044950017662344494,/Users/maxchalekson/Desktop/outputs/clf_roc_role_in_funded.png
role_on_team,On-team vs Not-on-team,790,334,456,0.7801323487241723,0.04002099797670385,0.7215189873417721,0.026852156247590395,0.6684895993092714,0.03383717778229747,0.6798733604703754,0.057662507308058615,0.6728965183752418,0.03613483000060729,/Users/maxchalekson/Desktop/outputs/clf_roc_role_on_team.png
