,0,1,accuracy,macro avg,weighted avg
precision,0.7622222222222222,0.6676470588235294,0.7215189873417721,0.7149346405228758,0.7222372797220153
recall,0.7521929824561403,0.6796407185628742,0.7215189873417721,0.7159168505095073,0.7215189873417721
f1-score,0.7571743929359823,0.6735905044510386,0.7215189873417721,0.7153824486935105,0.7218363945132339
support,456.0,334.0,0.7215189873417721,790.0,790.0
