,0,1,accuracy,macro avg,weighted avg
precision,0.9801829268292683,0.3880597014925373,0.879746835443038,0.6841213141609028,0.9314639272762463
recall,0.886896551724138,0.8,0.879746835443038,0.8434482758620689,0.879746835443038
f1-score,0.9312092686459088,0.5226130653266332,0.879746835443038,0.726911166986271,0.8975905936892596
support,725.0,65.0,0.879746835443038,790.0,790.0
