,0,1,accuracy,macro avg,weighted avg
precision,0.8831683168316832,0.3017543859649123,0.6734177215189874,0.5924613513982977,0.7764531016725923
recall,0.6914728682170542,0.593103448275862,0.6734177215189874,0.6422881582464581,0.6734177215189874
f1-score,0.7756521739130435,0.4,0.6734177215189874,0.5878260869565217,0.7067033571821685
support,645.0,145.0,0.6734177215189874,790.0,790.0
