conference,session,n_utterances,n_speakers,max_time,Beginning,Middle,End,Idea_Management,Information_Seeking,Knowledge_Sharing,Evaluation_Practices,Relational_Climate,Participation_Dynamics,Coordination_and_Decision_Practices,Integration_Practices,KS_total_utterances,KS_streak_count,KS_max_streak_len,KS_mean_streak_len,KS_beginning,KS_middle,KS_end,KS_first_minute,KS_last_minute,KS_mean_minute,n_transitions,n_unique_pairs,transition_entropy,KS_to_KS,KS_to_Idea,Idea_to_KS,KS_to_Eval,Eval_to_KS,KS_to_Info,Info_to_KS,KS_to_Rel,Rel_to_KS,n_teams,n_funded,funded_any
2021MZT,2021_10_01_MZT_S9,197,16,4136,75.0,43.0,79.0,37,39,61,15,48,19,41,3,61,39,5,1.564102564102564,18,19,24,2.5,68.35,37.583333333333336,436,56,5.3304529050334795,27,22,16,9,6,15,17,18,10,0,0,0
2021NES,2021_11_04_NES_S1,115,20,5815,48.0,38.0,29.0,41,21,36,24,29,16,30,22,36,29,5,1.2413793103448276,20,11,5,0.2,82.375,32.11782407407407,459,63,5.758594456609652,9,15,11,8,4,9,12,14,8,0,0,0
2021NES,2021_11_04_NES_S2,174,11,3163,39.0,40.0,95.0,40,36,73,28,24,11,19,4,73,39,5,1.8717948717948718,25,19,29,0.8666666666666667,52.53333333333333,26.834018264840182,376,53,5.167308798220015,37,18,18,18,15,22,22,7,9,0,0,0
2021NES,2021_11_04_NES_S3,244,18,4514,85.0,52.0,107.0,40,36,89,23,51,31,68,15,89,47,9,1.8936170212765957,27,26,36,1.3583333333333334,74.425,40.715823970037455,606,64,5.536912840559609,45,22,22,12,9,18,18,22,19,0,0,0
2021NES,2021_11_04_NES_S4,219,12,4155,53.0,66.0,100.0,53,35,95,31,56,33,37,10,95,59,7,1.6101694915254237,26,26,43,0.08333333333333333,68.325,38.19105263157895,625,62,5.501190798762533,40,25,25,18,15,18,20,27,25,0,0,0
2021NES,2021_11_04_NES_S5,187,16,4452,47.0,66.0,74.0,47,36,92,26,36,21,31,8,92,39,7,2.358974358974359,25,41,26,0.575,74.15833333333333,38.26159420289855,530,62,5.322773179799031,58,32,29,14,15,24,23,15,10,0,0,0
2021NES,2021_11_04_NES_S6,172,17,4511,54.0,49.0,69.0,36,8,55,34,84,15,37,4,55,37,5,1.4864864864864864,16,16,23,1.75,70.81666666666666,36.93060606060606,561,59,5.1974210188838885,22,11,11,15,16,2,3,38,34,0,0,0
2021NES,2021_11_05_NES_S1,382,23,6773,150.0,155.0,77.0,61,76,144,46,81,31,87,13,144,83,8,1.7349397590361446,65,54,25,0.7583333333333333,112.44166666666666,45.81533564814814,927,63,5.401480863647661,73,36,34,34,25,33,37,34,30,0,0,0
2021NES,2021_11_05_NES_S10,276,12,4445,99.0,65.0,112.0,55,53,100,23,38,39,48,15,100,66,5,1.5151515151515151,37,30,33,1.575,74.05,36.4915,623,64,5.564314531548252,41,25,25,7,6,28,29,19,20,0,0,0
2021NES,2021_11_05_NES_S11,148,10,4262,44.0,40.0,64.0,36,29,60,22,47,24,41,13,60,31,7,1.935483870967742,20,24,16,0.15833333333333333,67.41666666666667,33.589444444444446,529,62,5.620582974295347,30,19,15,15,10,12,16,24,19,0,0,0
2021NES,2021_11_05_NES_S12,255,15,4457,93.0,74.0,88.0,57,40,105,31,38,30,44,15,105,54,7,1.9444444444444444,30,44,31,0.9916666666666667,73.01666666666667,37.58515873015873,601,64,5.484462327125599,54,34,27,16,18,19,22,18,10,0,0,0
2021NES,2021_11_05_NES_S2,163,13,4486,44.0,45.0,74.0,42,33,71,20,33,27,44,10,71,30,9,2.3666666666666667,28,17,26,0.7,72.95,36.22171361502347,564,63,5.538877682459002,46,24,22,13,10,19,20,10,16,0,0,0
2021NES,2021_11_05_NES_S3,315,23,6783,116.0,109.0,90.0,73,44,122,20,52,24,71,30,122,71,6,1.7183098591549295,41,46,35,0.075,112.61666666666666,56.099521857923506,743,62,5.4511318330992555,62,42,42,15,12,21,29,20,20,0,0,0
2021NES,2021_11_05_NES_S4,225,24,6795,86.0,80.0,59.0,37,26,86,26,76,48,76,13,86,53,6,1.6226415094339623,33,33,20,3.375,112.975,48.83304263565892,737,64,5.542942010271242,36,20,19,19,14,10,13,36,36,0,0,0
2021NES,2021_11_05_NES_S5,299,23,6791,112.0,124.0,63.0,57,45,119,36,62,27,64,15,119,73,5,1.63013698630137,49,55,15,0.5083333333333333,112.75,46.41260504201681,708,64,5.556136826601348,51,30,27,16,19,20,32,32,19,0,0,0
2021NES,2021_11_05_NES_S6,339,23,6793,154.0,93.0,92.0,50,45,120,36,63,40,77,15,120,80,4,1.5,60,44,16,0.425,112.85,43.18861111111111,737,62,5.497714468325697,49,25,27,21,16,23,29,30,23,0,0,0
2021NES,2021_11_05_NES_S7,347,16,4458,92.0,85.0,170.0,68,61,112,34,53,29,61,11,112,77,6,1.4545454545454546,31,42,39,1.3,73.43333333333334,40.698883928571426,682,63,5.518955003302345,52,29,32,19,10,24,27,22,21,0,0,0
2021NES,2021_11_05_NES_S8,148,13,4356,73.0,32.0,43.0,29,26,59,12,56,32,43,8,59,39,4,1.5128205128205128,24,19,16,1.125,72.275,32.64293785310735,505,61,5.497421608581355,21,12,11,6,4,13,12,24,24,0,0,0
2021NES,2021_11_05_NES_S9,266,11,4410,73.0,79.0,114.0,47,54,121,32,42,16,50,6,121,67,5,1.8059701492537314,36,32,53,0.15,72.525,38.49524793388429,586,58,5.186697527548186,62,26,27,22,19,30,37,22,21,0,0,0
2021SLU,2021_06_10_SLU_S1,213,16,4674,91.0,45.0,77.0,35,32,54,21,71,29,48,13,54,45,4,1.2,20,18,16,2.45,77.35,36.94645061728394,534,62,5.638466762121627,16,13,10,8,12,8,13,26,17,0,0,0
2021SLU,2021_06_10_SLU_S2,190,11,4540,30.0,79.0,81.0,62,46,76,25,36,13,31,12,76,40,6,1.9,11,33,32,14.625,75.65,46.558223684210525,552,62,5.459636238080483,40,28,31,10,14,21,22,14,14,0,0,0
2021SLU,2021_06_10_SLU_S3,178,11,4418,58.0,61.0,59.0,74,31,61,28,31,41,48,11,61,33,8,1.8484848484848484,21,20,20,0.5833333333333334,72.03333333333333,34.506967213114756,653,62,5.58898441799424,31,25,25,9,9,13,12,13,7,0,0,0
2021SLU,2021_06_10_SLU_S4,308,13,4573,118.0,99.0,91.0,73,53,107,32,59,34,39,18,107,65,7,1.646153846153846,33,33,41,1.0166666666666666,75.25,39.46308411214954,668,63,5.561858307831856,48,30,29,14,10,28,26,17,20,0,0,0
2021SLU,2021_06_10_SLU_S5,202,11,4562,76.0,54.0,72.0,60,43,82,26,45,19,48,7,82,46,9,1.7826086956521738,23,29,30,0.21666666666666667,75.11666666666666,38.2599593495935,617,60,5.431408086853653,44,32,30,14,11,19,26,24,17,0,0,0
2021SLU,2021_06_10_SLU_S6,249,13,4618,67.0,88.0,94.0,53,47,99,24,51,23,30,14,99,64,5,1.546875,30,30,39,0.31666666666666665,76.79166666666667,40.055218855218854,547,63,5.525285183211951,43,18,22,10,5,25,29,25,17,0,0,0
2021SLU,2021_06_10_SLU_S7,205,13,4564,88.0,58.0,59.0,51,27,73,32,43,44,45,11,73,41,5,1.7804878048780488,28,24,21,0.3333333333333333,75.00833333333334,34.812899543379,573,63,5.618968425235431,33,27,18,16,12,12,14,12,16,0,0,0
2021SLU,2021_06_11_SLU_S1,269,13,4709,85.0,75.0,109.0,69,51,72,29,59,48,42,21,72,54,5,1.3333333333333333,26,22,24,1.3583333333333334,76.75833333333334,37.89710648148148,669,64,5.724309936093231,19,21,25,10,11,16,16,23,23,0,0,0
2021SLU,2021_06_11_SLU_S10,246,10,4428,91.0,53.0,102.0,70,63,108,27,45,18,36,13,108,61,7,1.7704918032786885,40,29,39,0.44166666666666665,73.78333333333333,36.656327160493824,662,60,5.310173291240693,49,31,32,16,15,34,40,17,22,0,0,0
2021SLU,2021_06_11_SLU_S11,201,11,4441,56.0,63.0,82.0,46,31,72,28,56,22,38,7,72,38,12,1.894736842105263,16,34,22,0.2833333333333333,73.25,38.62592592592593,553,62,5.468707696203812,37,28,23,15,16,13,19,25,17,0,0,0
2021SLU,2021_06_11_SLU_S12,257,9,4457,95.0,81.0,81.0,49,46,85,23,43,30,42,7,85,46,6,1.8478260869565217,26,25,34,0.9833333333333333,73.98333333333333,40.13078431372549,537,61,5.455087577888054,47,23,22,12,8,15,28,17,12,0,0,0
2021SLU,2021_06_11_SLU_S13,257,11,4454,74.0,83.0,100.0,48,44,83,21,52,23,39,18,83,53,5,1.5660377358490567,26,25,32,0.4583333333333333,73.99166666666666,39.04457831325301,520,63,5.554545021129343,36,22,20,7,8,16,22,16,17,0,0,0
2021SLU,2021_06_11_SLU_S2,247,13,4650,68.0,67.0,112.0,44,39,77,24,56,30,25,9,77,55,3,1.4,28,18,31,0.16666666666666666,74.44166666666666,37.517099567099564,527,61,5.488702121617433,28,23,19,13,9,17,24,27,24,0,0,0
2021SLU,2021_06_11_SLU_S3,229,10,4655,85.0,63.0,81.0,33,36,62,19,35,33,30,7,62,45,5,1.3777777777777778,19,23,20,0.9833333333333333,76.69166666666666,38.09126344086021,422,63,5.577099079715365,25,15,13,6,6,18,19,13,17,0,0,0
2021SLU,2021_06_11_SLU_S4,209,10,4470,90.0,45.0,74.0,44,41,69,22,37,28,43,8,69,50,3,1.38,28,18,23,0.225,74.39166666666667,34.72222222222222,514,61,5.574674431063168,22,14,19,12,10,15,22,16,17,0,0,0
2021SLU,2021_06_11_SLU_S5,180,12,4260,51.0,62.0,67.0,46,36,65,30,55,26,17,5,65,42,5,1.5476190476190477,20,26,19,0.575,68.19166666666666,34.23576923076923,526,60,5.414851719061434,26,18,18,12,13,17,19,29,25,0,0,0
2021SLU,2021_06_11_SLU_S6,253,9,4687,75.0,90.0,88.0,72,29,96,29,55,15,34,7,96,60,10,1.6,28,32,36,0.7666666666666667,77.925,40.24548611111111,581,58,5.2277766013326685,49,32,38,20,14,13,18,24,20,0,0,0
