conference,session,n_utterances,n_speakers,max_time,Beginning,Middle,End,Idea_Management,Information_Seeking,Knowledge_Sharing,Evaluation_Practices,Relational_Climate,Participation_Dynamics,Coordination_and_Decision_Practices,Integration_Practices,KS_total_utterances,KS_streak_count,KS_max_streak_len,KS_mean_streak_len,KS_beginning,KS_middle,KS_end,KS_first_minute,KS_last_minute,KS_mean_minute,n_transitions,n_unique_pairs,transition_entropy,KS_to_KS,KS_to_Idea,Idea_to_KS,KS_to_Eval,Eval_to_KS,KS_to_Info,Info_to_KS,KS_to_Rel,Rel_to_KS,n_teams,n_funded,funded_any
2020NES,2020_11_06_NES_S7,80,12,3384,12.0,32.0,36.0,26,13,41,17,23,7,17,2,41,17,6,2.411764705882353,4,22,15,0.725,56.21666666666667,32.607723577235774,284,46,5.0578146052256745,25,17,19,9,15,10,11,10,10,0,0,0
2020NES,2020_11_06_NES_S8,120,14,4118,59.0,13.0,48.0,20,21,48,16,30,18,30,3,48,33,3,1.4545454545454546,20,5,23,1.5916666666666666,68.41666666666667,35.84652777777777,316,56,5.405399282290897,19,11,11,7,7,14,11,13,16,0,0,0
2020NES,2020_11_06_NES_S9,160,16,3727,53.0,39.0,68.0,53,39,82,33,28,12,25,6,82,45,8,1.8222222222222222,19,21,42,0.575,61.85,36.25548780487805,531,60,5.265124949346891,41,36,31,18,14,28,30,15,15,0,0,0
2021ABI,2021_05_20_ABI_S1,121,13,4301,27.0,32.0,62.0,24,25,41,15,21,4,29,11,41,21,4,1.9523809523809523,4,17,20,1.1833333333333333,68.55,45.2270325203252,295,57,5.383324555229364,23,15,11,9,6,10,14,6,7,0,0,0
2021ABI,2021_05_20_ABI_S2,287,11,2871,131.0,93.0,63.0,45,43,111,32,27,17,48,8,111,53,10,2.0943396226415096,33,42,36,0.08333333333333333,47.541666666666664,23.974249249249247,534,62,5.346746153050663,63,27,22,23,16,19,22,12,12,0,0,0
2021ABI,2021_05_20_ABI_S3,151,17,4295,50.0,60.0,41.0,36,27,69,28,44,20,28,4,69,29,9,2.3793103448275863,22,37,10,0.44166666666666665,65.7,30.825120772946853,476,59,5.426049667014649,41,21,19,15,18,13,17,18,14,0,0,0
2021ABI,2021_05_20_ABI_S4,228,13,3689,87.0,54.0,87.0,43,55,85,21,43,31,46,12,85,52,6,1.6346153846153846,31,20,34,0.425,61.2,30.67647058823529,584,64,5.629338194262985,34,16,18,12,11,25,23,25,22,0,0,0
2021ABI,2021_05_20_ABI_S5,235,12,3972,51.0,59.0,125.0,41,50,99,27,38,18,39,6,99,57,9,1.736842105263158,23,28,48,0.041666666666666664,66.09166666666667,38.64747474747475,503,58,5.310355837427889,51,17,16,10,14,29,34,20,17,0,0,0
2021ABI,2021_05_20_ABI_S6,230,13,4393,71.0,80.0,79.0,41,41,71,28,32,18,26,13,71,41,5,1.7317073170731707,30,20,21,0.275,72.70833333333333,31.95657276995305,478,62,5.506367839911647,36,20,18,18,13,21,23,16,11,0,0,0
2021ABI,2021_05_20_ABI_S7,188,15,4350,73.0,72.0,43.0,50,30,92,15,46,23,31,8,92,42,9,2.1904761904761907,31,46,15,1.1416666666666666,72.18333333333334,31.32798913043478,492,58,5.270123169837383,54,27,26,11,7,12,13,23,21,0,0,0
2021ABI,2021_05_20_ABI_S8,327,43,4363,74.0,138.0,115.0,32,47,105,13,29,15,50,5,105,58,6,1.8103448275862069,26,34,45,0.025,72.19166666666666,39.73563492063492,434,56,5.060934526273291,62,13,12,3,9,26,27,15,15,0,0,0
2021ABI,2021_05_21_ABI_S1,275,12,4687,94.0,87.0,94.0,49,55,89,21,46,17,52,14,89,52,4,1.7115384615384615,38,36,15,1.075,77.50833333333334,31.359737827715353,557,61,5.466420608712273,45,23,24,13,12,19,21,15,15,0,0,0
2021ABI,2021_05_21_ABI_S10,215,9,3872,79.0,75.0,61.0,44,33,70,27,54,36,50,10,70,49,4,1.4285714285714286,24,28,18,2.0833333333333335,63.9,30.452261904761905,584,63,5.653378064206776,25,13,15,12,9,11,12,24,21,0,0,0
2021ABI,2021_05_21_ABI_S11,190,11,3927,59.0,55.0,76.0,33,34,87,16,36,19,33,3,87,47,7,1.851063829787234,26,32,29,0.08333333333333333,63.05833333333333,32.17605363984675,422,56,5.230794299530946,44,22,21,9,8,21,25,14,9,0,0,0
2021ABI,2021_05_21_ABI_S12,267,12,3807,77.0,72.0,118.0,45,35,109,28,47,17,58,7,109,61,6,1.7868852459016393,32,39,38,1.5333333333333334,63.13333333333333,32.06651376146788,558,60,5.241854166064145,59,26,28,18,15,24,20,26,21,0,0,0
2021ABI,2021_05_21_ABI_S13,219,11,3955,84.0,41.0,94.0,46,39,88,18,35,22,32,11,88,48,9,1.8333333333333333,40,21,27,0.16666666666666666,65.74166666666666,30.325473484848487,503,58,5.410261010484087,47,25,18,14,11,19,24,13,20,0,0,0
2021ABI,2021_05_21_ABI_S14,189,15,3961,49.0,57.0,83.0,43,27,59,18,33,20,34,7,59,34,4,1.7352941176470589,15,30,14,0.3,63.50833333333333,32.08742937853107,420,61,5.466547248791537,26,22,20,7,7,15,15,13,10,0,0,0
2021ABI,2021_05_21_ABI_S15,255,12,3997,89.0,74.0,92.0,49,44,115,23,26,19,28,2,115,61,6,1.8852459016393444,42,37,36,0.30833333333333335,63.31666666666667,30.130289855072462,467,53,5.0182479742530575,64,26,27,17,13,19,28,15,12,0,0,0
2021ABI,2021_05_21_ABI_S16,235,17,3983,91.0,40.0,104.0,33,40,71,8,39,18,50,10,71,43,8,1.6511627906976745,27,26,18,1.2166666666666666,65.625,30.258568075117367,475,61,5.411057119598256,37,16,20,4,4,13,20,20,14,0,0,0
2021ABI,2021_05_21_ABI_S2,174,15,4712,64.0,54.0,56.0,45,26,83,30,38,17,36,11,83,34,8,2.4411764705882355,33,26,24,4.816666666666666,77.43333333333334,36.92359437751004,518,62,5.4508651897146505,55,27,25,18,15,14,15,17,10,0,0,0
2021ABI,2021_05_21_ABI_S3,232,10,4570,71.0,90.0,71.0,27,39,82,23,46,20,34,5,82,49,8,1.6734693877551021,20,33,29,0.25,74.35833333333333,40.56290650406504,433,58,5.272382070210637,41,16,15,18,13,24,25,19,17,0,0,0
2021ABI,2021_05_21_ABI_S4,259,12,4658,67.0,79.0,113.0,44,37,123,32,59,17,27,8,123,64,10,1.921875,32,48,43,1.1666666666666667,77.26666666666667,42.620257452574535,566,62,5.214761348074525,72,26,26,19,20,19,22,33,27,0,0,0
2021ABI,2021_05_21_ABI_S5,298,13,4618,79.0,107.0,112.0,66,37,101,40,60,39,60,10,101,55,8,1.8363636363636364,27,45,29,2.216666666666667,76.775,39.45338283828383,680,61,5.527045262415406,52,27,26,19,20,9,8,28,25,0,0,0
2021ABI,2021_05_21_ABI_S6,288,11,4599,96.0,82.0,110.0,53,35,98,32,40,26,39,9,98,55,7,1.7818181818181817,31,30,37,0.26666666666666666,75.84166666666667,40.22100340136054,571,61,5.424966039093723,52,30,26,14,17,21,21,18,15,0,0,0
2021ABI,2021_05_21_ABI_S7,139,13,4614,35.0,43.0,61.0,41,27,52,25,35,21,31,9,52,34,3,1.5294117647058822,12,23,17,3.283333333333333,75.80833333333334,41.056570512820514,428,58,5.555112203194187,20,14,15,10,12,13,16,18,12,0,0,0
2021ABI,2021_05_21_ABI_S8,237,12,4620,66.0,83.0,88.0,57,31,109,29,64,24,24,14,109,56,9,1.9464285714285714,30,47,32,0.35833333333333334,74.85833333333333,39.648623853211014,618,62,5.359447452958073,57,32,38,18,16,19,16,30,32,0,0,0
2021ABI,2021_05_21_ABI_S9,174,18,3986,57.0,50.0,67.0,38,33,73,21,42,22,37,6,73,41,7,1.7804878048780488,14,27,32,1.1083333333333334,66.28333333333333,39.692579908675796,493,60,5.4441003530379115,32,21,18,14,12,20,20,23,20,0,0,0
2021ABI,output-2021-05-20-ABI-S1,39,10,1801,5.0,7.0,27.0,8,9,14,3,11,9,13,2,14,8,6,1.75,4,5,5,1.8833333333333333,29.541666666666668,14.12797619047619,150,52,5.408214191242756,7,4,4,1,0,6,3,4,4,0,0,0
2021CMC,2021_10_07_CMC_S1,203,13,4418,58.0,67.0,78.0,39,63,74,9,44,24,43,15,74,50,5,1.48,23,29,22,0.55,72.83333333333333,35.5990990990991,521,61,5.452713909108281,25,18,13,5,4,29,32,25,18,0,0,0
2021CMC,2021_10_07_CMC_S2,121,13,4218,32.0,37.0,52.0,29,38,53,18,37,25,24,11,53,39,5,1.358974358974359,15,19,19,0.5416666666666666,65.59166666666667,36.77327044025158,501,62,5.677057996092327,15,10,11,9,5,20,18,18,18,0,0,0
2021CMC,2021_10_07_CMC_S3,169,15,4202,43.0,29.0,97.0,42,28,66,22,46,25,30,11,66,47,6,1.4042553191489362,20,13,33,3.175,69.25833333333334,41.0364898989899,484,62,5.57210009636041,21,15,20,8,6,11,19,21,19,0,0,0
2021CMC,2021_10_07_CMC_S4,187,11,3833,62.0,40.0,85.0,65,44,79,26,54,17,27,8,79,41,6,1.9268292682926829,33,24,22,1.65,63.6,29.547257383966237,593,60,5.359869963756399,39,32,31,14,14,26,27,19,20,0,0,0
2021CMC,2021_10_07_CMC_S5,174,15,4209,49.0,54.0,71.0,34,55,60,14,31,14,26,15,60,43,4,1.3953488372093024,19,24,17,0.075,70.10833333333333,35.04555555555555,417,60,5.485977914021565,24,18,13,10,4,23,25,16,12,0,0,0
2021CMC,2021_10_07_CMC_S6,176,12,4204,69.0,63.0,44.0,51,32,85,20,40,38,27,13,85,50,6,1.7,30,37,18,0.36666666666666664,68.84166666666667,31.904999999999998,595,63,5.5277764555978495,43,23,22,14,12,15,21,20,17,0,0,0
2021CMC,2021_10_07_CMC_S7,131,10,4439,29.0,32.0,70.0,45,22,60,24,27,23,15,8,60,36,7,1.6666666666666667,15,16,29,10.15,73.49166666666666,42.95486111111111,436,64,5.560712221357415,26,20,19,12,12,10,16,16,13,0,0,0
2021CMC,2021_10_08_CMC_S1,177,17,4659,64.0,40.0,73.0,39,29,58,7,58,33,45,9,58,35,6,1.6571428571428573,25,13,20,0.425,76.18333333333334,35.74583333333333,486,58,5.425062645347713,24,18,14,4,4,11,12,22,24,0,0,0
2021CMC,2021_10_08_CMC_S10,182,16,4400,83.0,58.0,41.0,50,27,89,32,39,32,26,8,89,47,7,1.8936170212765957,36,35,18,1.1916666666666667,73.0,30.2685393258427,556,62,5.387959761949346,43,27,31,20,21,20,17,18,15,0,0,0
2021CMC,2021_10_08_CMC_S11,179,13,4527,72.0,47.0,60.0,49,42,72,16,45,41,32,10,72,53,4,1.3584905660377358,23,21,28,0.03333333333333333,73.675,39.06655092592593,560,62,5.547456126951727,23,21,17,9,6,24,24,21,21,0,0,0
2021CMC,2021_10_08_CMC_S12,126,9,4471,16.0,33.0,77.0,35,26,71,19,16,6,18,8,71,30,8,2.3666666666666667,12,25,34,10.483333333333333,74.225,44.27535211267605,366,57,5.098054366059665,48,25,28,13,14,17,20,11,10,0,0,0
2021CMC,2021_10_08_CMC_S13,195,14,4516,75.0,63.0,57.0,45,38,88,21,58,18,57,11,88,48,10,1.8333333333333333,26,34,28,0.058333333333333334,75.23333333333333,36.19346590909091,632,59,5.376703060527875,43,27,25,14,14,22,26,27,27,0,0,0
2021CMC,2021_10_08_CMC_S14,258,11,4443,82.0,66.0,110.0,66,44,94,21,61,21,62,16,94,53,9,1.7735849056603774,26,31,37,0.4083333333333333,72.78333333333333,39.48102836879432,669,59,5.365626744528674,47,33,36,12,12,20,25,29,23,0,0,0
2021CMC,2021_10_08_CMC_S2,180,12,4634,47.0,38.0,95.0,45,39,87,21,43,18,25,6,87,49,6,1.7755102040816326,21,21,45,0.925,77.15833333333333,46.015708812260534,488,58,5.317785484095449,42,19,19,11,13,17,25,28,19,0,0,0
2021CMC,2021_10_08_CMC_S3,169,14,4287,73.0,76.0,20.0,30,33,77,11,55,26,30,7,77,49,5,1.5714285714285714,32,40,5,0.6583333333333333,71.34166666666667,26.696428571428566,469,57,5.202013501102478,32,16,11,5,5,21,26,29,31,0,0,0
2021CMC,2021_10_08_CMC_S4,151,11,4641,42.0,36.0,73.0,33,50,64,20,35,17,33,5,64,38,5,1.6842105263157894,19,23,22,0.23333333333333334,75.70833333333333,39.925130208333336,474,59,5.446138860675799,30,13,12,10,11,23,26,19,17,0,0,0
2021CMC,2021_10_08_CMC_S5,195,15,4647,70.0,34.0,91.0,31,30,62,7,63,31,52,7,62,40,7,1.55,27,14,21,0.225,75.6,34.45967741935484,490,57,5.341827176194144,23,12,12,4,5,11,17,24,20,0,0,0
2021CMC,2021_10_08_CMC_S6,167,14,4662,43.0,34.0,90.0,25,38,47,16,43,27,37,12,47,35,3,1.3428571428571427,6,14,27,1.1833333333333333,77.34166666666667,50.97801418439715,429,64,5.690815760895236,15,12,7,3,4,13,17,17,12,0,0,0
2021CMC,2021_10_08_CMC_S7,151,12,4343,47.0,42.0,62.0,26,37,52,15,48,30,29,10,52,41,4,1.2682926829268293,15,19,18,0.4166666666666667,71.68333333333334,34.64503205128205,454,60,5.541918242693082,12,9,6,4,6,17,14,23,20,0,0,0
2021CMC,2021_10_08_CMC_S8,173,12,4632,60.0,37.0,76.0,38,31,81,22,32,15,33,13,81,45,8,1.8,23,26,32,1.825,76.2,40.282716049382714,494,60,5.4049261078278095,44,27,25,14,12,19,25,15,19,0,0,0
2021CMC,2021_10_08_CMC_S9,184,11,4448,89.0,21.0,74.0,49,32,78,18,54,12,28,7,78,45,6,1.7333333333333334,38,15,25,0.025,73.69166666666666,33.15790598290598,501,56,5.2690310266729785,38,23,28,12,9,19,20,25,18,0,0,0
2021MND,2021_04_22_MND_S1,199,12,4582,60.0,34.0,105.0,51,39,66,22,39,22,51,10,66,49,5,1.346938775510204,25,13,28,0.10833333333333334,76.36666666666666,39.83863636363637,533,63,5.537255087237917,20,19,22,10,8,18,15,20,19,0,0,0
2021MND,2021_04_22_MND_S2,1,1,5,0.0,0.0,1.0,0,0,1,0,0,0,0,0,1,1,1,1.0,0,0,1,0.041666666666666664,0.041666666666666664,0.041666666666666664,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021MND,2021_04_22_MND_S3,163,10,4245,58.0,55.0,50.0,56,43,64,37,28,6,12,11,64,40,6,1.6,23,24,17,0.125,70.46666666666667,32.440234375,450,58,5.323179672521897,26,25,21,19,11,22,22,8,11,0,0,0
2021MND,2021_04_22_MND_S4,240,15,4527,96.0,53.0,91.0,41,35,83,19,35,16,34,15,83,48,7,1.7291666666666667,34,26,23,0.14166666666666666,75.43333333333334,34.12198795180722,435,64,5.488721780148456,44,19,19,8,9,17,16,17,23,0,0,0
2021MND,2021_04_22_MND_S5,222,53,4512,80.0,56.0,86.0,43,46,88,19,63,12,24,9,88,50,5,1.76,31,29,28,0.10833333333333334,74.825,35.17594696969697,487,60,5.31693437688107,42,17,23,9,12,21,27,26,22,0,0,0
2021MND,2021_04_22_MND_S6,228,15,4645,59.0,62.0,107.0,49,55,78,18,46,27,43,9,78,47,6,1.6595744680851063,28,26,24,0.125,76.89166666666667,37.3340811965812,555,60,5.45902424591068,35,26,23,8,8,21,26,15,18,0,0,0
2021MND,2021_04_22_MND_S7,187,12,4354,34.0,66.0,87.0,47,32,71,28,52,15,30,7,71,42,5,1.6904761904761905,22,17,32,0.125,72.20833333333333,39.851173708920186,501,59,5.378632855758636,32,19,20,19,14,21,17,22,16,0,0,0
2021MND,2021_04_22_MND_S8,201,11,4385,56.0,64.0,81.0,77,32,78,30,42,12,16,8,78,51,6,1.5294117647058822,25,20,33,0.23333333333333334,73.025,38.75982905982906,509,56,5.228304835695939,34,31,34,12,14,13,19,18,17,0,0,0
2021MND,2021_04_23_MND_S1,153,14,3392,34.0,41.0,78.0,42,30,68,20,38,19,27,8,68,43,7,1.5813953488372092,15,20,33,1.325,56.19166666666667,32.6795343137255,454,61,5.497639948325198,28,22,16,7,10,18,18,18,18,0,0,0
2021MND,2021_04_23_MND_S10,223,13,3987,92.0,67.0,64.0,40,42,97,18,45,25,34,13,97,46,6,2.108695652173913,38,32,27,0.7583333333333333,66.375,31.369329896907214,515,61,5.325134627855714,57,26,20,11,13,21,23,10,16,0,0,0
2021MND,2021_04_23_MND_S11,214,8,3935,39.0,85.0,90.0,52,57,88,8,15,8,33,10,88,54,9,1.6296296296296295,17,46,25,0.15,65.175,35.92215909090909,409,54,4.94484809926889,42,27,21,5,1,28,33,4,7,0,0,0
2021MND,2021_04_23_MND_S12,193,13,3965,81.0,35.0,77.0,46,35,97,26,26,12,16,0,97,39,11,2.4871794871794872,43,20,34,2.0416666666666665,65.11666666666666,30.670618556701033,409,45,4.832383504034028,64,32,27,16,14,17,19,10,10,0,0,0
2021MND,2021_04_23_MND_S13,209,14,3982,67.0,59.0,83.0,25,44,72,11,44,23,42,12,72,40,7,1.8,31,17,24,0.1,65.11666666666666,32.07465277777778,427,57,5.3336257034286945,36,9,9,6,6,26,19,7,11,0,0,0
2021MND,2021_04_23_MND_S14,204,30,3961,45.0,77.0,82.0,38,51,77,6,22,8,39,9,77,48,6,1.6041666666666667,23,32,22,0.9916666666666667,64.625,32.16255411255411,389,54,5.060564624815692,38,21,21,2,5,27,33,10,11,0,0,0
2021MND,2021_04_23_MND_S15,213,19,3982,89.0,48.0,76.0,38,35,75,7,37,25,42,11,75,42,5,1.7857142857142858,28,23,24,0.5416666666666666,65.675,31.81755555555556,465,61,5.369386517721055,39,25,24,5,2,14,18,18,10,0,0,0
2021MND,2021_04_23_MND_S16,186,13,3932,69.0,74.0,43.0,44,29,80,19,46,21,25,8,80,46,6,1.7391304347826086,31,32,17,0.775,63.458333333333336,29.810520833333328,467,60,5.351117965328492,43,27,28,15,10,12,15,23,17,0,0,0
2021MND,2021_04_23_MND_S2,218,14,3945,55.0,68.0,95.0,45,26,58,16,41,22,40,9,58,35,7,1.6571428571428573,20,12,26,0.7833333333333333,63.141666666666666,34.35689655172414,454,61,5.479555543064941,24,21,25,4,7,15,15,20,17,0,0,0
