segment,feature,mean_funded,mean_nonfunded,diff,cohens_d,p_any_funded,n_funded,n_nonfunded
first,ann_coordination_and_decision_practices_count,1.4252873563218391,4.224371373307544,-2.7990840169857045,-0.3120631089333609,0.0006178351544099528,87,517
first,ann_evaluation_practices_count,1.0114942528735633,0.8839458413926499,0.12754841148091345,0.08387832365438899,0.5510238714122573,87,517
first,ann_idea_management_count,2.6666666666666665,2.021276595744681,0.6453900709219855,0.2636217781967643,0.016678080039513998,87,517
first,ann_information_seeking_count,1.9770114942528736,2.2940038684719535,-0.3169923742190799,-0.09713487407117427,0.9087572568335385,87,517
first,ann_integration_practices_count,0.3448275862068966,0.30174081237911027,0.04308677382778631,0.049366570783681805,0.6490593361535182,87,517
first,ann_knowledge_sharing_count,6.574712643678161,5.446808510638298,1.1279041330398636,0.19931965589821748,0.019491873987518768,87,517
first,ann_none_count,0.5977011494252874,0.690522243713733,-0.09282109428844565,-0.053928727302118944,0.8680580885994411,87,517
first,ann_participation_dynamics_count,0.9195402298850575,2.9361702127659575,-2.0166299828809002,-0.28223152505875126,0.002380548171704848,87,517
first,ann_relational_climate_count,3.0114942528735633,5.4100580270793035,-2.39856377420574,-0.26948562180075974,0.0018365119289896856,87,517
middle,ann_coordination_and_decision_practices_count,0.367816091954023,0.9070294784580499,-0.539213386504027,-0.282714835867471,8.53054853665285e-06,87,441
middle,ann_evaluation_practices_count,2.574712643678161,2.002267573696145,0.5724450699820158,0.23518504520109465,0.2053883259074304,87,441
middle,ann_idea_management_count,4.379310344827586,3.507936507936508,0.8713738368910784,0.26131691982439714,0.20827070540505477,87,441
middle,ann_information_seeking_count,2.8850574712643677,2.8435374149659864,0.04152005629838129,0.012578635447841212,0.43002012373510246,87,441
middle,ann_integration_practices_count,0.6091954022988506,0.562358276643991,0.046837125654859646,0.04741541572026157,0.6011370865508557,87,441
middle,ann_knowledge_sharing_count,7.459770114942529,5.566893424036281,1.892876690906248,0.3226660588965722,0.00342171679902541,87,441
middle,ann_none_count,1.0804597701149425,1.0317460317460319,0.048713738368910686,0.017678308879303946,0.5922825173094299,87,441
middle,ann_participation_dynamics_count,0.6436781609195402,1.401360544217687,-0.7576823832981469,-0.2443882135729856,1.122485983713198e-05,87,441
middle,ann_relational_climate_count,2.954022988505747,3.1043083900226756,-0.15028540151692837,-0.035235138620189954,0.19276809726779398,87,441
last,ann_coordination_and_decision_practices_count,3.3176470588235296,4.02276707530648,-0.7051200164829505,-0.10304505272575647,3.60648478047951e-05,85,571
last,ann_evaluation_practices_count,4.258823529411765,2.9334500875656744,1.3253734418460903,0.36452315757013704,0.3417332286434618,85,571
last,ann_idea_management_count,7.105882352941176,4.966725043782837,2.139157309158339,0.3713963309811618,0.38873600601797254,85,571
last,ann_information_seeking_count,5.635294117647059,4.1646234676007,1.470670650046359,0.26999530365636837,0.6407836825826865,85,571
last,ann_integration_practices_count,1.5294117647058822,1.299474605954466,0.2299371587514163,0.10563056606693114,0.27008567620858426,85,571
last,ann_knowledge_sharing_count,11.764705882352942,7.691768826619965,4.072937055732977,0.4689986909732118,0.003126913333449196,85,571
last,ann_none_count,2.3058823529411763,1.6147110332749561,0.6911713196662201,0.21264642061630462,0.2982864484255465,85,571
last,ann_participation_dynamics_count,1.1647058823529413,1.9089316987740805,-0.7442258164211393,-0.18004067999682846,1.9280638122815345e-06,85,571
last,ann_relational_climate_count,6.988235294117647,6.225919439579685,0.7623158545379622,0.09480056298137884,0.016732616217259775,85,571
