center_time_sec,burst_score,num_participants,pair_count,hit_pairs,is_burst,conference,session
511.5,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
272.0703125,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
287.0703125,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
152.40975609756097,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
155.39512195121952,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
162.48536585365855,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
175.8365853658537,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
184.5024390243902,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
191.50975609756097,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
199.8439024390244,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
306.219806763285,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
318.719806763285,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
163.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
205.09832635983264,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
208.29916317991632,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
213.4560669456067,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
218.1150627615063,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
219.35983263598325,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
224.94642857142856,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
232.44642857142856,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
367.4516129032258,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
375.3483870967742,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
376.8967741935484,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
103.9047619047619,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
118.33333333333334,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
127.90476190476193,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
131.42857142857144,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
139.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
147.04761904761904,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
58.1,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
74.5,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
82.9,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
246.5091743119266,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
255.5504587155963,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
265.54128440366975,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
246.0909090909091,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
252.5151515151515,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
263.72727272727275,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
281.7878787878788,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
295.4848484848485,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
470.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
304.7368421052631,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
310.13157894736844,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
315.6315789473684,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
320.86842105263156,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
324.5526315789474,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
333.2894736842105,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
341.42105263157896,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
348.3157894736842,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
355.3157894736842,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
359.39473684210526,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
363.3421052631579,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
540.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
342.4666666666667,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
343.96666666666664,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
3120.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
87.45833333333334,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
93.375,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
96.91666666666669,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
355.91666666666663,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
356.9166666666667,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
3715.0,0.0,0,4,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
204.7012987012987,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
210.31493506493507,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
221.0779220779221,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
232.3474025974026,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
238.38311688311688,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
47.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
6.411764705882353,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
22.470588235294116,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
41.05882352941177,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
352.5,0.0,0,4,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
54.8527397260274,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
83.07876712328768,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
108.98972602739724,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
113.263698630137,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
206.3197852760736,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
212.6042944785276,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
237.6579754601227,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
261.3197852760736,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
267.51993865030676,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
277.2630368098159,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
288.6510736196319,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
297.6349693251534,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
303.20245398773005,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
306.5766871165644,0.0,0,4,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
310.6679447852761,0.0,0,4,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
316.40414110429447,0.0,0,4,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
321.38113496932516,0.0,0,4,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
332.0099693251534,0.0,0,4,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
343.9884969325153,0.0,0,4,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
348.1641104294479,0.0,0,4,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
350.56825153374234,0.0,0,4,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
357.94938650306756,0.0,0,4,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
366.46932515337426,0.0,0,4,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
6.5,0.0,0,4,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
4901.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
4901.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
359.29289940828403,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
365.28402366863907,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
375.49112426035504,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
5578.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
126.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
304.7407407407407,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
316.74074074074076,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
6126.0,0.0,0,11,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
90.5906976744186,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
99.1372093023256,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
105.04651162790698,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
81.01492537313432,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
83.01492537313433,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
19.895833333333336,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
27.29861111111111,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
38.40277777777778,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
139.8148148148148,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
142.56944444444446,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
144.25462962962962,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
47.07843137254902,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
57.568627450980394,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
71.49019607843137,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
423.2108559498956,0.0,0,11,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
436.7724425887265,0.0,0,11,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
455.7223382045929,0.0,0,11,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
470.9791231732776,0.0,0,11,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
479.8183716075157,0.0,0,11,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
20.152542372881356,0.0,0,11,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
28.152542372881356,0.0,0,11,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
421.5,0.0,0,11,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
7273.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
7273.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
7273.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
7273.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
7273.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
7273.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
7273.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
7273.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
7273.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
7273.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
7273.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
7273.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
77.5,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
513.2972972972973,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
515.2972972972973,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
347.5,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
340.5,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
379.9237668161435,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
391.8340807174888,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
399.4394618834081,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
406.0762331838565,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
415.5470852017937,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
251.5,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
250.5,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
9099.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
9099.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
280.6865671641791,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
282.6865671641791,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
493.13167259786474,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
503.1316725978648,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
84.5,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
289.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
182.5,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
527.5,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
303.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
10743.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
30.414117647058823,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
32.32941176470588,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
36.47058823529411,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
40.06823529411764,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
45.607058823529414,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
51.09411764705882,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
466.5,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
38.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
484.2132352941177,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
488.139705882353,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
492.9264705882353,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
295.4754098360656,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
296.4754098360656,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
178.18454935622316,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
185.1888412017167,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
188.00429184549355,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
285.1822429906542,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
290.68224299065423,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
309.65185185185186,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
315.15185185185186,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
299.46153846153845,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
300.46153846153845,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
482.5,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
159.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
425.41666666666663,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
431.27777777777777,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
435.8611111111111,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
477.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
119.03030303030305,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
128.53030303030303,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
78.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
369.0,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
461.5,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
14285.0,0.0,0,93,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
133.3125,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
133.8125,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
90.71428571428572,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
91.71428571428572,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
162.625,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
163.625,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
247.4179104477612,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
249.4179104477612,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
217.58333333333331,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
218.58333333333337,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
253.1645569620253,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
256.1645569620253,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
269.5,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
6.569868995633188,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
15.069868995633188,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
473.5,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
297.5,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
33.69565217391304,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
34.69565217391305,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
365.5,0.0,0,0,0.0,False,2021_04_22_MND_S1,2021_04_22_MND_S1
