,0,1,accuracy,macro avg,weighted avg
precision,0.9841269841269841,0.6923076923076923,0.9546044098573282,0.8382173382173381,0.9595248389022707
recall,0.9660056657223796,0.8307692307692308,0.9546044098573282,0.8983874482458052,0.9546044098573282
f1-score,0.9749821300929236,0.7552447552447552,0.9546044098573282,0.8651134426688394,0.956456929878746
support,706.0,65.0,0.9546044098573282,771.0,771.0
