source,target,weight
181,182,0.9081329107284546
82,86,0.7719129323959351
170,179,0.7510442733764648
158,160,0.7443981766700745
7,10,0.733940839767456
47,49,0.723297119140625
100,107,0.7207888960838318
205,206,0.7134579420089722
106,107,0.7006775736808777
206,207,0.6958330869674683
24,25,0.683193564414978
149,152,0.6758905649185181
212,216,0.6745861768722534
161,162,0.6701165437698364
156,157,0.6667035818099976
81,82,0.6662501692771912
149,150,0.661591112613678
205,207,0.6606575846672058
10,15,0.6586509943008423
149,151,0.6577985882759094
30,31,0.6539959907531738
18,23,0.644483745098114
208,209,0.640609860420227
1,10,0.6402954459190369
98,100,0.6378824710845947
