source,target,t_i,t_j,weight,speaker_i,speaker_j
134,138,2269.5,2337.5,-0.02005942165851593,Brad Smith,Brad Smith
102,105,1774.0,1831.8333333333335,-0.019365549087524414,Alexandra Dickinson,Barbara Smith
99,103,1737.5,1786.0,-0.019008826464414597,Alexandra Dickinson,Carolyn Bayer
97,99,1705.3333333333335,1737.5,-0.01839454099535942,Alexandra Dickinson,Alexandra Dickinson
166,169,2718.5,2748.5,-0.018113572150468826,Sixian You,Brad Smith
78,82,1303.0,1408.0,-0.018092414364218712,Brad Smith,Carolyn Bayer
97,102,1705.3333333333335,1774.0,-0.017149921506643295,Alexandra Dickinson,Alexandra Dickinson
192,193,3020.0,3032.5,-0.017101489007472992,Aniruddha Ray,Brad Smith
165,169,2708.25,2748.5,-0.016440851613879204,Brad Smith,Brad Smith
40,44,672.5,711.0,-0.016175350174307823,Barbara Smith,Brad Smith
165,175,2708.25,2803.5,-0.016005264595150948,Brad Smith,Barbara Smith
179,184,2839.0,2892.5,-0.015700792893767357,Brad Smith,Brad Smith
201,207,3173.0,3256.0,-0.014756100252270699,Brad Smith,Barbara Smith
163,169,2684.0,2748.5,-0.014513660222291946,Carolyn Bayer,Brad Smith
139,140,2355.0,2369.5,-0.013713240623474121,Alexandra Dickinson,Brad Smith
9,11,121.5,151.58333333333331,-0.013551965355873108,Brad Smith,Alexandra Dickinson
114,122,1984.75,2101.5,-0.013447840698063374,Barbara Smith,Brad Smith
178,185,2824.0,2911.0,-0.01342230848968029,Aniruddha Ray,Aniruddha Ray
4,8,57.33333333333333,112.5,-0.012208834290504456,Aniruddha Ray,Aniruddha Ray
92,99,1627.0,1737.5,-0.011645671911537647,Carolyn Bayer,Alexandra Dickinson
202,205,3184.0,3232.538461538462,-0.010383900254964828,Barbara Smith,Barbara Smith
190,196,3002.5,3073.5,-0.009567026980221272,Aniruddha Ray,Brad Smith
126,131,2167.083333333333,2242.5,-0.009073419496417046,Sixian You,Barbara Smith
117,122,2028.25,2101.5,-0.0077041927725076675,Barbara Smith,Brad Smith
167,173,2731.5,2792.0,-0.007583184167742729,Brad Smith,Brad Smith
